SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B	ENTREZID
METRN	-1.52961956039794	8.82580809111225	-7.62913818730822	3.26050217232488e-13	4.25136878249441e-09	19.4123910784072	79006
CDKN2A	1.32118568932126	9.9516047434898	7.34342813758192	2.03049527806442e-12	9.47236036469744e-09	17.6758501296453	1029
ESR1	-2.30137280949715	10.9028830808231	-7.29864108857935	2.69350308280558e-12	9.47236036469744e-09	17.4076974107526	2099
TMSB15A	1.43708787483575	9.02914083456463	7.2865821800365	2.90585485534088e-12	9.47236036469744e-09	17.335688761434	11013
ZIC1	2.30004339355451	5.98529940242177	7.04708049234281	1.28906158059026e-11	3.36161478986327e-08	15.9226053517396	7545
MELK	1.31331633719216	9.46615609012586	6.9853992627449	1.88165950600496e-11	4.08915971646644e-08	15.5640284018246	9833
GATA3	-1.83544052433138	13.1110022765918	-6.82878570104181	4.86624476101367e-11	9.06442363412246e-08	14.6636368183835	2625
DEK	0.779791285487561	11.1250141479184	6.80494991932157	5.61608462652932e-11	9.15351593066447e-08	14.5278826800559	7913
LCMT2	-0.453974193025409	9.10943683696258	-6.74451690490298	8.0641906682595e-11	1.16832202359373e-07	14.1852267942678	9836
GMPS	0.765886284262913	9.93658954836735	6.67872292410226	1.19266642506962e-10	1.55511775164827e-07	13.8146931646811	8833
MLPH	-1.56812573475778	11.8859091294524	-6.59401528401801	1.9661615095286e-10	2.33061635661304e-07	13.3415477302949	79083
ILF2	0.723745749054849	11.1247897450272	6.52955205131287	2.86766561964963e-10	3.09451964346481e-07	12.9844544132402	3608
ARF3	-0.406553846112133	11.2083781072925	-6.5035997592169	3.33576844760643e-10	3.09451964346481e-07	12.8414235802479	377
TFDP1	0.603596933553214	10.582720523466	6.49428877569889	3.52136050814915e-10	3.09451964346481e-07	12.7902107970903	7027
PUM3	0.717370530768276	10.2832434462007	6.48365657350995	3.74569661995047e-10	3.09451964346481e-07	12.7317975176236	9933
SLC7A8	-0.837272127135717	9.43324817669047	-6.47716170696371	3.88957392008426e-10	3.09451964346481e-07	12.6961496953155	23428
CHST15	-0.88386547396432	9.72519575303061	-6.47085031979243	4.03457580634265e-10	3.09451964346481e-07	12.6615343421627	51363
TBC1D9	-1.75490444235603	11.327299253619	-6.44990451261933	4.55483998044074e-10	3.20903375719573e-07	12.5468350766313	23158
PLIN2	1.09880189011738	10.4340503461871	6.44536087810883	4.67609796661699e-10	3.20903375719573e-07	12.5219906616193	123
WWP1	-0.894911077043742	10.8516681873197	-6.41668213118535	5.51788717894841e-10	3.59738654631542e-07	12.365477671868	11059
KIAA0232	-0.501221499339672	10.1626637553197	-6.40480983903417	5.90835171825484e-10	3.66852371687261e-07	12.3008376996368	9778
RHOB	-0.988879593259414	11.2105008245272	-6.3947357159703	6.2608276542577e-10	3.68219761683769e-07	12.2460582590519	388
CA12	-1.72663708446382	11.0150131307517	-6.38834123946547	6.49517180667743e-10	3.68219761683769e-07	12.2113208886696	771
MCCC2	-0.770989613065347	11.1119978913946	-6.32849615563047	9.1494316672903e-10	4.87698505144026e-07	11.8874829020103	64087
USP1	0.632176487586838	10.8629622986973	6.32468069574316	9.35076511128204e-10	4.87698505144026e-07	11.8669141375704	7398
DSC2	1.43184898294766	8.55225619226191	6.31739390700343	9.74741006727505e-10	4.88832614873844e-07	11.8276577524142	1824
ZNF467	-0.558562236989881	9.21397458762585	-6.27505452306548	1.24001158918922e-09	5.98833744868084e-07	11.600237234489	168544
FOXC1	1.1442700257507	9.04987769684014	6.18676289824568	2.04073359313298e-09	9.50325904316462e-07	11.1297231413056	2296
NFIB	1.31436602607448	10.6108437209218	6.1366487536966	2.70148971729557e-09	1.21255019421746e-06	10.8649226957247	4781
ERBB4	-0.981274972741574	9.1959906312449	-6.13088125614249	2.78982328602835e-09	1.21255019421746e-06	10.834553320968	2066
NAT1	-1.90216971371693	10.7052082410034	-6.04343085372934	4.53184083947658e-09	1.90615073244952e-06	10.3767654288961	9
TPBG	-0.869310664665043	11.2607904524966	-6.02213075670221	5.0963412928971e-09	2.07659981619017e-06	10.2660315537759	7162
TSPAN1	-1.62241853130901	8.79163383770409	-5.99586723462741	5.88763687896847e-09	2.32633022014757e-06	10.1299108392954	10103
RRAGD	1.50994429433921	7.85680894384013	5.98184615798339	6.35802740869759e-09	2.43830351123553e-06	10.0574301906162	58528
PLCH1	0.879569973703613	8.03339879228571	5.97627847064131	6.55483871913062e-09	2.44195834453555e-06	10.0286850987863	23007
MCM3	0.463422068510688	10.4968786627245	5.95373728882091	7.41431135002253e-09	2.68542238035955e-06	9.91252123013322	4172
DALRD3	-0.520185183060859	10.3592078975884	-5.92345508559834	8.7442156959152e-09	3.0815088772713e-06	9.75700300153752	55152
TTK	1.08270122050795	8.20635809978571	5.91709204840727	9.05194757494446e-09	3.1060090639395e-06	9.72440344262864	7272
MCM2	0.682105021648839	10.2414895283809	5.91223668560614	9.29385785523922e-09	3.10724647626831e-06	9.69954651152524	4171
CGRRF1	-0.344742282020007	8.87965192256802	-5.90717834324617	9.55259735409259e-09	3.11390792250033e-06	9.67366738592992	10668
FOXA1	-1.46465693807455	9.4702677407483	-5.89554340958583	1.01747355043642e-08	3.2358140546684e-06	9.61420730650734	3169
ELF5	1.81562892881111	9.25936393104763	5.85229469140509	1.28537056652447e-08	3.94379487451687e-06	9.39399087410004	2001
ROPN1	1.38216809606086	8.0251632242653	5.84959360143072	1.30421582245573e-08	3.94379487451687e-06	9.38027950295391	54763
GLI3	-0.686994021053556	9.59591753820068	-5.84584315219473	1.3308303894374e-08	3.94379487451687e-06	9.36124957991277	2737
C4A	-1.54833230552415	11.346749392881	-5.84121440931512	1.36440954649809e-08	3.95345246150858e-06	9.33777638145537	720
TGFB3	-0.633727761675161	9.54043898289115	-5.82922323469641	1.4552936218372e-08	4.12512468155115e-06	9.27703493604164	7043
CYB5R1	-0.550253010036135	10.8527991863095	-5.82229632664375	1.51045999583814e-08	4.19040167781563e-06	9.24199134246881	51706
SLC22A5	-0.57827909552324	9.42211469349319	-5.80113723775923	1.69191761917431e-08	4.55085119263889e-06	9.135149640881	6584
GALNT6	-1.09015724545394	9.89940628892517	-5.79913077776069	1.71019026335843e-08	4.55085119263889e-06	9.12503404302873	11226
BCAM	-0.83597490342944	9.74165221508844	-5.79426642267152	1.7552927062424e-08	4.57745231933893e-06	9.10052178187141	4059
TYMS	0.954092840353594	11.3975266652585	5.78317451376854	1.86252258521582e-08	4.76184940953511e-06	9.04468859840287	7298
TPX2	0.818117575795131	9.85150320261564	5.77729755805903	1.92190154897798e-08	4.81916813406228e-06	9.01514009077236	22974
YES1	0.80064475528817	9.68945153745238	5.76243126613621	2.08047407901291e-08	5.11835877665083e-06	8.94050047758786	7525
HOXC4	-0.595913834107493	9.26456065790136	-5.75578068932169	2.15548003211193e-08	5.20468595161248e-06	8.90715898676537	3221
NOTCH1	0.675756540843514	8.8551081865102	5.74647881355344	2.26482935854772e-08	5.36929272838249e-06	8.86057680853357	4851
TFF3	-1.98751814797991	10.3153369616599	-5.73938625176531	2.35182515420489e-08	5.47597289029957e-06	8.82509859451465	7033
UQCRH	0.528037053956637	12.4942632615646	5.70966699573986	2.75316593252159e-08	6.29798782353491e-06	8.6768157704561	7388
GREB1	-1.9497629763863	7.21273596868027	-5.70169545099299	2.87171501724766e-08	6.44181689562655e-06	8.63714612085665	9687
SEC13	0.41278841641917	11.3107734376531	5.69887440326093	2.91484927403916e-08	6.44181689562655e-06	8.62311799493706	6396
EPHB3	0.857542859351311	9.58184431416665	5.68444152716212	3.14560618645449e-08	6.83592651086335e-06	8.55143455166263	2049
ORAI3	-0.451957125737619	9.85392128986735	-5.67500521327938	3.30600632715959e-08	7.0667240163662e-06	8.50464566713105	93129
YEATS2	0.512293272397337	8.98001915135715	5.66456677718653	3.4927337228434e-08	7.3454443567992e-06	8.45296004050211	55689
RFC4	0.555906310220463	10.1074351872585	5.64550962138609	3.86050595823083e-08	7.99002177609077e-06	8.35879488952738	5984
SKP1	-0.394220104218334	13.6332353679932	-5.64186806629804	3.93495603330655e-08	8.0168580809819e-06	8.34083008444901	6500
AGR2	-3.00489716529197	10.5222078884592	-5.63053828726342	4.17564914179436e-08	8.37635217843949e-06	8.28499637823911	10551
SPATA20	-0.610344352728642	9.92242281852382	-5.60302943451463	4.82131925239346e-08	9.43033436384695e-06	8.14980520767872	64847
NBEA	-0.642216849228071	7.55904289161565	-5.60206202409399	4.84571211272142e-08	9.43033436384695e-06	8.1450605605262	26960
CLTA	0.464556179902624	11.9075431635374	5.59503560093278	5.02652426481883e-08	9.6383602777901e-06	8.11061930225532	1211
KLHL7	0.657801785307797	7.95715333115307	5.58841411182846	5.20292160913796e-08	9.72643387770277e-06	8.0781946276117	55975
LRBA	-0.503754649229821	9.7944042040068	-5.58562977694178	5.27888458056989e-08	9.72643387770277e-06	8.06456925863194	987
LIMA1	-0.529410908979155	10.5556736386905	-5.58499909288325	5.29624055001838e-08	9.72643387770277e-06	8.06148371189375	51474
AMFR	-0.489325130446329	9.57509066437755	-5.57929776176221	5.45568035287392e-08	9.88008557237819e-06	8.0336033194796	267
P4HTM	-0.582670137326131	10.4459398790612	-5.56306736301115	5.93559794212195e-08	1.060195363936e-05	7.9543594082018	54681
ANXA9	-1.26122455617786	7.83801229506122	-5.55107974799952	6.31621157039014e-08	1.11293354954482e-05	7.89594980614571	8416
ENO1	0.531172025931532	12.8818034319388	5.54838951816511	6.40483794831692e-08	1.11350242677472e-05	7.88285560184248	2023
PERP	0.890419870302776	10.6121798300476	5.54571051555354	6.49429729745393e-08	1.1141992429145e-05	7.86982112136148	64065
MCM6	0.634456762233092	10.4769246432245	5.54101098972513	6.65417525679342e-08	1.12680248277051e-05	7.84696818564177	4175
IL6ST	-1.14489105468102	11.2847696231905	-5.53206560331598	6.9691541053368e-08	1.16501026127547e-05	7.80351153346899	3572
GFRA1	-1.41122587324694	7.70337204848639	-5.52288489838159	7.30749895107785e-08	1.19942269880936e-05	7.75897055498405	2674
PDSS1	0.464716183144769	8.70668046618367	5.52152424651928	7.35898580449028e-08	1.19942269880936e-05	7.7523743117468	23590
CHAF1B	1.4195259843148	6.16377153963946	5.4997815836662	8.2312506439131e-08	1.31948897535595e-05	7.64714702566181	8208
TFF1	-2.31771109276698	10.3597968652925	-5.49821052868794	8.29803635088486e-08	1.31948897535595e-05	7.63955663064022	7031
BTG3	0.816780842723088	9.91404305824829	5.4935432455108	8.49956851624765e-08	1.32822984917931e-05	7.61701745635239	10950
DNAJC12	-1.61601976746489	9.15997203213605	-5.49223885883029	8.55673804210922e-08	1.32822984917931e-05	7.6107210980549	56521
CTSV	0.96112913263659	8.38270698561225	5.48956224198931	8.67522476456258e-08	1.3307794788839e-05	7.59780468221413	1515
XBP1	-1.09511929400198	12.6603615666122	-5.48658525404359	8.80888375522022e-08	1.33557017772461e-05	7.58344476154508	7494
MFGE8	1.07211084549433	8.82665075581293	5.47954569693854	9.13296260573787e-08	1.34372004106804e-05	7.54951353551947	4240
CCND1	-1.22979418146466	10.379908311534	-5.47780136219343	9.21504260722042e-08	1.34372004106804e-05	7.54111115297067	595
RETREG1	-0.860756732227158	8.67930756349661	-5.47656026137757	9.27387940048739e-08	1.34372004106804e-05	7.53513414418533	54463
GMNN	0.626896683548725	9.53310350312925	5.47528491374003	9.33472047269576e-08	1.34372004106804e-05	7.52899334851304	51053
CDK2AP1	0.648882991867249	12.2954557143911	5.47438454735627	9.37790656777294e-08	1.34372004106804e-05	7.52465878387401	8099
RAP2A	0.597299967274324	10.6021277778674	5.46757741662855	9.71076099700163e-08	1.37628926782505e-05	7.49190641823288	5911
RANBP1	0.626873770509318	10.6694016725884	5.45166527828037	1.05342945222746e-07	1.47695340081654e-05	7.41547433050548	5902
ATG14	-0.37130848743545	9.00340375318706	-5.44296873210711	1.10126947178057e-07	1.51531635922124e-05	7.37377784793809	22863
SIDT1	-0.762711810100874	8.30054749777551	-5.44247739993655	1.10403446679974e-07	1.51531635922124e-05	7.37142371760259	54847
MSH2	0.560266380161582	8.84272029155102	5.43710377603729	1.13471898968326e-07	1.54120842775833e-05	7.34568821967645	4436
DEPDC1	0.560703222280106	8.44185154508844	5.43027669504231	1.174901252831e-07	1.57933375625396e-05	7.31302156439811	55635
SLC44A4	-1.39610080981453	8.0864845017415	-5.42388322779735	1.21378405747047e-07	1.61495207401607e-05	7.28245992951589	80736
DONSON	0.599443208833244	8.68113686673128	5.41637338537017	1.26105586393162e-07	1.66089973836407e-05	7.24659925135742	29980
TUBB	0.464191039762647	13.276012044966	5.40931962947742	1.30708421032246e-07	1.70430710183945e-05	7.21295326463367	203068
SNRPD1	0.539704690315405	10.6796228439116	5.4045091039638	1.33940720673625e-07	1.729161442439e-05	7.1900278140847	6632
HNRNPA3P1	0.386574182019779	11.4031693264286	5.40169795485335	1.35865431033959e-07	1.72960693072695e-05	7.17663844855884	10151
NFATC4	-0.902964286551235	8.23788940559184	-5.40059458196828	1.36628202979427e-07	1.72960693072695e-05	7.1713846875382	4776
SYT1	-0.831212184984175	8.94697939051361	-5.39294874211314	1.42029409846656e-07	1.77154228691533e-05	7.13500268389037	6857
CYB5A	-0.859684678043285	11.707770865085	-5.39093236241076	1.43488069552627e-07	1.77154228691533e-05	7.12541492976128	1528
QKI	0.683038846244351	10.3659381833537	5.39020641275315	1.44016782278569e-07	1.77154228691533e-05	7.12196380171966	9444
MSH6	0.407614697583263	10.5008978902449	5.38561218181042	1.47406966924586e-07	1.78903305122801e-05	7.10013184405156	2956
CYP2B6	-1.98209483288048	8.58154633545578	-5.38457523884886	1.4818281274072e-07	1.78903305122801e-05	7.09520635130916	1555
CDC20	1.04158844096356	9.26798073592518	5.38106601310294	1.50837990737824e-07	1.8043821662665e-05	7.07854321967247	991
CKS1B	0.641502623018486	11.0501116892109	5.37451662588694	1.55917670384541e-07	1.84819136740366e-05	7.04746795062794	1163
SOX10	1.60067721235207	7.98833003314285	5.3652693769969	1.63373857968949e-07	1.91912768833975e-05	7.00364456431807	6663
NMU	1.77395545765835	5.43018984290816	5.35843537910575	1.69105723703263e-07	1.96872279586326e-05	6.97129734802417	10874
TSPAN31	-0.402997803346823	9.76669448698639	-5.35363096020199	1.73251813718844e-07	1.98180087304583e-05	6.94857685713695	6302
PTPRK	0.779399423142639	10.8901603550272	5.35361140985663	1.73268885288155e-07	1.98180087304583e-05	6.94848443597257	5796
CAMLG	-0.476181448252719	10.4762370942041	-5.32347595282239	2.01622399044916e-07	2.28604735751884e-05	6.8063520721452	819
INPP4B	-1.00901976527037	7.85411713735715	-5.30443164833207	2.21812719333008e-07	2.49328969601991e-05	6.71686948610929	8821
RARRES1	1.77784906326976	9.60772158259524	5.30017125153756	2.26591246289237e-07	2.52523355586783e-05	6.69688735668938	5918
GABRP	2.44186726906694	8.98857084001021	5.29669663676499	2.30562303571585e-07	2.54771345446602e-05	6.68060045912903	2568
CRIP1	-1.62529766463385	10.5018748901973	-5.2949553398032	2.32577730123869e-07	2.54838741435725e-05	6.67244160700104	1396
MISP	-0.958725702448535	8.81513779991157	-5.29060151882183	2.37692117558187e-07	2.58272293403434e-05	6.65205140337006	126353
STMN1	0.603178986970635	9.18306735090817	5.28045039327259	2.50044286507725e-07	2.69448549733407e-05	6.60456425093648	3925
STIL	0.456041663708786	8.51057542657143	5.27465513221639	2.57373248230514e-07	2.75072933088334e-05	6.5774875199017	6491
SMG5	0.506441483582274	8.94417548057483	5.25883730643611	2.78454640906986e-07	2.95184557950097e-05	6.50370763614478	23381
KANK1	0.602236077371319	9.63024217	5.25362492366715	2.85761709364985e-07	3.00487655516939e-05	6.47943520418609	23189
CYP4B1	-1.59819206412575	6.83305391694899	-5.24645702935967	2.96114780468985e-07	3.08883249802807e-05	6.44608894127054	1580
ZNF552	-0.687837707260174	9.82093123988095	-5.2250305445157	3.29279806834775e-07	3.38228430122592e-05	6.34663307219466	79818
TXNDC5	0.48538438279612	11.8065271169762	5.22493538100622	3.29434854095937e-07	3.38228430122592e-05	6.34619209810702	81567
CLIC4	0.599932728737086	10.5976836832075	5.21025404404913	3.54222627568341e-07	3.60836628192469e-05	6.27824030572514	25932
EN1	1.59716254358585	7.63192844015646	5.20773670531359	3.58650766706906e-07	3.61601698163559e-05	6.26660479676444	2019
CAMK2N1	-1.00668434707402	10.4222484360136	-5.20552485181973	3.62585822168212e-07	3.61601698163559e-05	6.25638512002966	55450
PADI2	0.872555612205781	9.88421152082653	5.20506165903837	3.63415164830356e-07	3.61601698163559e-05	6.25424543237142	11240
GTPBP8	0.399059333227919	9.35290559937755	5.20301557180713	3.67100735737015e-07	3.61601698163559e-05	6.24479555390135	29083
KIAA0040	-0.635933748891441	9.29422265438775	-5.20205700175415	3.68839833236854e-07	3.61601698163559e-05	6.24036944293618	9674
E2F3	0.459749380083149	9.31796580031633	5.19994265351296	3.72704115943064e-07	3.62663355804598e-05	6.23060901357323	1871
MCM5	0.751611214527652	9.28467162076871	5.1964304356739	3.79210167153569e-07	3.66260842186325e-05	6.21440287380505	4174
SFRP1	1.4124698887011	10.2164587178571	5.18772694428232	3.95810850615834e-07	3.79483653027931e-05	6.17428209520877	6422
LMO4	0.85493962514941	10.0527316323912	5.18566633799402	3.99843162540486e-07	3.80551459588715e-05	6.16479139550465	8543
ABCG1	-0.585845991533054	8.50424657970068	-5.17478103722767	4.21814087093624e-07	3.98553179827084e-05	6.11470789155875	9619
MSX2	-1.14483903536371	7.29199085263266	-5.16864272451271	4.3471524830778e-07	4.05480114349014e-05	6.08650381884472	4488
UBA2	0.462465940616508	10.2291429375918	5.16833836181652	4.35364797981916e-07	4.05480114349014e-05	6.0851060670766	10054
KHDRBS3	1.0192865137768	8.14377220142177	5.16683417690837	4.38588766929877e-07	4.05585739858061e-05	6.07819926702955	10656
KIF18B	0.720316757777634	8.87404257696258	5.16525101700434	4.42007005708147e-07	4.05868263903417e-05	6.0709316353905	146909
COMMD10	-0.584212773849448	9.50080193701021	-5.16209547571137	4.48897429147105e-07	4.09312837667769e-05	6.05645135884968	51397
KIF5C	-0.788359505560897	9.21875650355102	-5.15805826448842	4.57865047073412e-07	4.1459044088821e-05	6.03793593724715	3800
TRIM8	-0.448435231690528	9.68180074693197	-5.15314443918627	4.69014346342248e-07	4.20149114808042e-05	6.01541640672145	81603
FEN1	0.655985181023887	9.64238290371769	5.15252063314338	4.70448429802701e-07	4.20149114808042e-05	6.01255884460204	2237
TM4SF1	1.25016610184755	11.8342018583877	5.15018648630362	4.75852264241584e-07	4.22084195472518e-05	6.00186901349109	4071
GALNT7	-0.868842348376873	10.0477153627075	-5.14273893878323	4.93499545599418e-07	4.26390388333153e-05	5.96778791309242	51809
KLF5	0.581830823848611	9.28404439829932	5.14025103062683	4.99534870906236e-07	4.26390388333153e-05	5.95641199344218	688
KIF2C	0.612354324465043	9.63093512186055	5.13852481974266	5.0376439730665e-07	4.26390388333153e-05	5.94852160819649	11004
IPO5	0.477190290513807	9.95956655912925	5.13787414356391	5.05367661053183e-07	4.26390388333153e-05	5.94554798554328	3843
ATP5MC3	0.391089512448839	12.0930147144898	5.1359093055498	5.1023908665504e-07	4.26390388333153e-05	5.93657047577649	518
DYNLT3	-0.373315227190871	10.8181935366259	-5.13570602532552	5.10745669709264e-07	4.26390388333153e-05	5.93564183417825	6990
