variable	level	response_primary	n
source	ISPY	RD	65
source	ISPY	pCR	14
source	MDACC	RD	174
source	MDACC	pCR	41
response_primary	RD	RD	239
response_primary	pCR	pCR	55
er_status_ihc_esr1_for indeterminate	N	RD	86
er_status_ihc_esr1_for indeterminate	N	pCR	45
er_status_ihc_esr1_for indeterminate	P	RD	153
er_status_ihc_esr1_for indeterminate	P	pCR	10
grade	1	RD	17
grade	1	pCR	1
grade	2	RD	103
grade	2	pCR	6
grade	3	RD	100
grade	3	pCR	45
grade	Indeterminate	RD	13
grade	Indeterminate	pCR	2
grade	NA	RD	6
grade	NA	pCR	1
clinical_ajcc_stage	I	RD	4
clinical_ajcc_stage	I	pCR	2
clinical_ajcc_stage	IIA	RD	59
clinical_ajcc_stage	IIA	pCR	11
clinical_ajcc_stage	IIB	RD	66
clinical_ajcc_stage	IIB	pCR	19
clinical_ajcc_stage	IIIA	RD	52
clinical_ajcc_stage	IIIA	pCR	13
clinical_ajcc_stage	IIIB	RD	43
clinical_ajcc_stage	IIIB	pCR	9
clinical_ajcc_stage	IIIC	RD	11
clinical_ajcc_stage	IIIC	pCR	1
clinical_ajcc_stage	Inflammatory	RD	4
clinical_nodal_status	N0	RD	71
clinical_nodal_status	N0	pCR	12
clinical_nodal_status	N1	RD	114
clinical_nodal_status	N1	pCR	30
clinical_nodal_status	N2	RD	31
clinical_nodal_status	N2	pCR	8
clinical_nodal_status	N3	RD	23
clinical_nodal_status	N3	pCR	5
pam50_class	Basal	RD	76
pam50_class	Basal	pCR	43
pam50_class	Her2	RD	15
pam50_class	Her2	pCR	2
pam50_class	LumA	RD	89
pam50_class	LumA	pCR	3
pam50_class	LumB	RD	37
pam50_class	LumB	pCR	4
pam50_class	Normal	RD	22
pam50_class	Normal	pCR	3
