gene_symbol	mutual_information
MCCC2	0.128990290389443
SLC7A8	0.126557451061805
TMSB15A	0.124619682342746
DSC2	0.122828703474697
MELK	0.122817309708531
METRN	0.120588702429167
NFIB	0.120134000832657
ESR1	0.11610850136976
ZIC1	0.114057901512401
TBC1D9	0.114048146482156
SLC22A5	0.112358572439606
SKP1	0.110139959948692
WWP1	0.109894856619993
TFDP1	0.107854397744365
AGR2	0.105924559431455
GATA3	0.102620200051033
KLHL7	0.102585669217125
CDK2AP1	0.101930936816678
LCMT2	0.100812034542777
CA12	0.100550478631903
CDKN2A	0.100157654905493
PLIN2	0.100076455894566
SCUBE2	0.0999894932071256
ANP32E	0.0992390176248466
NOTCH1	0.0990794222804628
SKP2	0.0987421824112415
CPD	0.0986478087863361
RETREG1	0.0982413911643452
RHOB	0.0982413911643452
MSH6	0.0976216869128629
GFRA1	0.0975368088633774
ITPR1	0.0969780143484224
CTSV	0.0958064686546486
NASP	0.0951609670629173
ARF3	0.0946303908822271
GMPS	0.0944377759259982
FOXA1	0.0943864742907299
CLTA	0.0943864742907298
KIF18B	0.0940672345728509
CDC20	0.093916026055742
ADIRF	0.0938447621206468
BTG3	0.0936182043039198
IL6ST	0.0930206569805668
SLC44A4	0.0928956888790769
UBA2	0.0922481088300608
TFF1	0.0922332273850041
CGRRF1	0.0921840925678364
CYB5R1	0.0918378682406947
KHDRBS3	0.0917383438496478
MLPH	0.0915665724132918
ZNF467	0.0915609193417876
TMEM62	0.0915113303941454
SYT1	0.0914201693581689
MRTFB	0.0912253539440411
BCAM	0.0912036615519102
TPX2	0.0910543898244307
PUM3	0.0909166604476543
TGFB3	0.0908606715221962
DALRD3	0.0908108674129151
ORAI3	0.0907765455242999
NFATC4	0.0904542539002055
NAT1	0.090083035588872
C4A	0.0890833579750284
TTK	0.0886466646681807
TSPAN1	0.0883279717233346
ENO1	0.0881781068128279
ANXA9	0.0874229286729512
CRIP1	0.0873700735688831
EFS	0.0870430822857233
TFF3	0.0868013321443234
USP1	0.0866489745356656
TP53TG1	0.0866358665395322
KLF11	0.0864230429472908
YES1	0.0862442780763385
SIDT1	0.0852265691269196
CYP2B6	0.0851309251097521
HOXC4	0.0851188983696999
TXNDC5	0.0846207186968161
GABRP	0.0845482638188589
XBP1	0.0845482638188589
PRC1	0.084329171023294
CHST15	0.084069391748915
PDSS1	0.0838225322835567
RFC4	0.0837171518130011
FOXC1	0.083717151813001
TYMS	0.083717151813001
KIAA0232	0.0835761879705087
ACTR3B	0.0834488311225068
KRT18	0.0834168107063771
DEK	0.0834168107063771
EN1	0.0833547993781365
MCM5	0.0833454387321143
MCM6	0.0833454387321143
HNRNPA3P1	0.0833430831898073
KIAA0040	0.0832661574935074
RASAL1	0.0827948606990377
MAPT	0.0827948606990374
RANBP1	0.0822452650126032
SNRPD1	0.0820090276851358
GALNT7	0.0819830447004124
MYO10	0.0817315311023449
LRBA	0.081482954753937
DONSON	0.0813924484472165
GIN1	0.0812953643503004
FUT8	0.0806985231357597
CACNA2D2	0.0805441601034736
ELF5	0.0804689953595207
TM4SF1	0.0804300306056211
GLI3	0.08028981098115
FEN1	0.0799395191589563
PLAAT1	0.0798822725005606
NAB1	0.0798181190502768
TPBG	0.0798181190502768
IFT46	0.0797119895004714
KIF2C	0.0797119895004714
IPO5	0.0796044606767588
GALNT6	0.0793807063175062
MDK	0.0792397718136078
TMBIM6	0.0789663899355098
FBXL7	0.078741649129968
FAM234B	0.0785718328647836
SEC13	0.0782904537532923
RRAGD	0.0782668687803408
ADGRB2	0.0781020292652474
DYNLT3	0.0778855289916104
ATG14	0.077808961583401
AMFR	0.0776641364128937
ZNF552	0.0776641364128937
PERP	0.0776570392947835
CCNE1	0.0774428082175823
HJURP	0.0774428082175823
SRD5A1	0.0773050734963306
ERBB4	0.0771683423009102
TMSB15B	0.0771137433351787
RARRES1	0.0766905889028517
MSH2	0.0765288763042238
YEATS2	0.0764978015668656
QKI	0.0761115931110769
HDAC2	0.0753662000738261
PRDX4	0.0752549302488425
LBR	0.0751826884490183
ILF2	0.0751815911062238
CEP55	0.075067569133855
SMCO4	0.0749089716115961
EPHB3	0.0748337472044065
NDUFAF1	0.0744343836284326
SEPHS1	0.0742808298777743
MCM2	0.0742089232655103
MACIR	0.0741918871965118
AFF1	0.0741598667318512
ABCG1	0.0741156243408835
DEPDC1	0.0740946552364557
DDX39A	0.0739555298585834
PLCH1	0.0739265310071061
PFKP	0.0738424118281881
DNAJC12	0.0738424118281881
ANKRD27	0.0736286054310057
CLIC4	0.0734848851706382
ABAT	0.0734545169885875
MOAP1	0.0729554374667541
POLR2M	0.0728492293171612
ROGDI	0.0726658304462595
EZH2	0.0726383743533411
MFGE8	0.0722733678915067
CCNA2	0.0720558174122314
LDHB	0.0719397419826214
GALNT10	0.07193820383835
CPE	0.0718952275079486
ETNK2	0.0717403135081891
INPP5J	0.07169945312305
LIMA1	0.0716173832078177
PTPRK	0.0713212986427331
NMU	0.071076815788171
SORD	0.0708113600043152
NFE2L3	0.0707031070287322
ROPN1	0.0706380301938563
SCCPDH	0.0705263720982001
FDPS	0.0704899016233936
CDCA8	0.0703865184159788
KDM4B	0.0702531755938388
MISP	0.0701660192604813
AKR7A3	0.0701527859240902
PIGH	0.0701527859240902
SYBU	0.0700287539485072
SPATA20	0.0700287539485072
YWHAB	0.0700083273738834
ATG3	0.0699832417213686
GPC1-AS1	0.0696905759888951
INPP4B	0.0696260462250596
RABEP1	0.0694779886876666
UQCRH	0.0694390798230622
CHAF1B	0.0694058765998213
CYB5A	0.0692685195675099
COCH	0.0691119921405594
TUBB	0.0691119921405594
MAGOH	0.0690961396651893
SERPINB6	0.0690853761245894
TPSB2	0.0688576663556923
KCNMA1	0.0688049533392204
MSX2	0.0687283244636005
DACH1	0.0685081330498733
BTBD3	0.0685081330498732
TBK1	0.0684542906705641
STMN1	0.0683914618994116
HIC2	0.0683244748676958
VLDLR	0.0681183027157327
SLC4A8	0.0679868958880016
FIS1	0.0679404382929213
STIL	0.0679238374635903
BBS1	0.0678553754091348
SUOX	0.0677781111843219
TCEAL1	0.0676131618222561
RNASE4	0.0675979427996677
TUBG2	0.0674518489352399
SLC12A8	0.0674491881656801
PAK1IP1	0.0673659264564956
CAMK2N1	0.0673659264564954
AFF3	0.0673147520746075
CKS1B	0.0671809168468366
KIF18A	0.0671809168468366
BUB1	0.0670818389291589
CD46	0.0669199473115487
FABP5	0.0668996281239638
CYP4B1	0.0668996281239636
TSPAN31	0.0668891699796097
P4HTM	0.0668607944112598
ARHGEF9	0.0665720473996213
TCF7L1	0.0664513112352979
FBXO38	0.0664217860013706
GYG1	0.0663904346354734
GTPBP8	0.0663844760022017
NBEA	0.0663844760022017
LAMP5	0.0663180042842508
E2F3	0.0662802677187057
HOXC6	0.0661738059772792
REEP1	0.0661346004790249
CELSR1	0.0660306999950593
FAM171A1	0.0660306999950593
PRKCI	0.0660189497969012
CREBL2	0.0660153874001387
SPG11	0.0657896465790065
SLC39A6	0.0656416357752701
SFRP1	0.0652464221869713
LMO4	0.0651574027945704
ADCY1	0.0651352956456835
GALNT3	0.0650592309402572
TPSAB1	0.0650508333552142
SRPK1	0.065050833355214
AGGF1	0.0649946993479196
KIF15	0.0649946993479196
THSD4	0.0649946993479196
DNAJA1	0.0649752726896658
KLF5	0.0649241399147523
MICALL1	0.0648653114135382
CDH3	0.0648119213250356
CSNK1A1	0.0647563396041472
KANK1	0.0645078747849572
GREB1	0.0644527250287925
MAGED2	0.0644129499552154
KIF4A	0.0643650078343576
MPZL2	0.0643576446059715
CSRP2	0.0643127285148594
SOX10	0.0642125761336986
FBXO11	0.0640669633949643
EVL	0.0640142001733067
FBXL5	0.0640036263475078
HDHD5	0.0639658359372274
NKAIN1	0.0638905458152378
MAST4	0.063876481251665
CD63	0.0638614211224647
CDCA3	0.0637316685867162
TEX30	0.0637020438583332
SLC2A10	0.0636655828821345
PROM1	0.0633412318596623
UCHL3	0.0633412318596622
KCNK5	0.0633412318596622
PRKD3	0.0630994404398177
PDCD5	0.0629943246084108
THBS1	0.0629943246084108
ATP5MC3	0.0629827692893561
TSPAN13	0.062764777955341
HPS5	0.0627272262632162
RLN2	0.0626202351776505
CEBPG	0.0622411535449334
KIF20A	0.0621245012930895
VCP	0.0620068301530965
CAMLG	0.0619829830104246
CHRD	0.0619750506089349
DNALI1	0.0619750506089348
SLC16A6	0.0619666530238917
GCNT2	0.0619658023506079
CCNB2	0.0619595301937846
SMC4	0.0617589016537597
ITPK1	0.0617406836081118
ANOS1	0.0616855735591244
KCNK15	0.0616320909377
MFAP1	0.0615663012354054
RAP2A	0.0615497492512482
SYT17	0.06150592269097
RNASEH1	0.0615005347130177
BLVRA	0.0614684118691977
FBP1	0.0614684118691977
LAMP3	0.0614684118691977
WBP1L	0.0614684118691976
ZSCAN32	0.0613972316783485
RLF	0.0613478226452536
SLC7A5	0.0612181107563808
NEK9	0.0611084846667099
TMEM9B	0.0610916547628442
S100A14	0.061091654762844
SIGMAR1	0.0610372615145049
UBE2E3	0.0610139648340071
RGL2	0.0609802852611977
MCM10	0.0609081840876189
PSMB2	0.0608675476619869
IMPA2	0.0608675476619868
SMG5	0.0608523286393981
ART3	0.0607971126194107
RAB26	0.0607381597276054
PTTG1	0.060428516329516
KIF5C	0.06041652493936
HSD17B4	0.0602218803671846
DNMT1	0.0601806454230355
H4C3	0.0601806454230354
SEMA3C	0.0600114569634387
CDK5RAP2	0.0600114569634385
PLK1	0.0600114569634385
PTP4A2	0.0600114569634385
REPS2	0.0599774705637704
CENPF	0.0599468221148988
MREG	0.0598467304876621
BAG2	0.0597900643847218
CDT1	0.0597900643847218
PIMREG	0.059787901986448
SMPD3	0.0597159524283277
PSMD2	0.0596601156485366
CENPE	0.0596594191071298
CASP8AP2	0.0596594191071298
NUP160	0.0596594191071298
IVD	0.0595384311962017
CORO1C	0.0594413773609224
CCND1	0.0592459276673209
PADI2	0.0591605868227598
CRABP1	0.0590954937262317
TRIM2	0.0590731940076863
CIRBP	0.0590731940076861
EEF1A2	0.0590731940076861
REEP5	0.0590706116844939
MDH1	0.0590440324187371
NCK1	0.0589966341185805
ASAH1	0.0589891622958812
TUBB3	0.0589792835222145
NME3	0.0589304010043917
ZNF711	0.0588570660167397
G6PC3	0.0588248974979089
RET	0.0587943297915671
TCEAL4	0.058629514899282
PCDHB3	0.0585841812831316
IL12RB2	0.0585277498089542
COX6C	0.0585242275699724
CYP2B7P	0.0585242275699724
ADAMTS1	0.0584571019296459
CAND2	0.0583294483641231
CHI3L2	0.058260501357242
PJA2	0.0582525274298843
PDXK	0.0581699119471006
PRKX	0.0581699119471004
RAD50	0.0581504008771732
SCNN1A	0.0581433388709727
IDO1	0.058093042702362
GINS1	0.0580707108938544
STIP1	0.0580544651422789
KLHDC3	0.0580004499252705
NDUFB6	0.0579323591309658
UGP2	0.0577232028148545
CCNH	0.0576387603736942
PGK1	0.0576193936740883
PLAT	0.0576193936740883
ANKRA2	0.0575734783731191
ENPP1	0.0575725129278633
SSB	0.0575725129278633
ODC1	0.0574386611051948
MYO5C	0.0574386611051948
SOX11	0.0573027198796546
ZFAND6	0.0572646917505005
ZNF124	0.0572537847566381
EFCAB14	0.0571719846354139
BBS4	0.0571361442109174
POU2F3	0.0571334715160629
MDC1	0.057075163053175
SIAH2	0.0568571402827146
CCL18	0.0568568720506293
NME5	0.056856872050629
BID	0.0568400097830503
MINDY1	0.0568232903948927
PSME4	0.0567989274153256
SCAMP1	0.0566651246252188
NQO1	0.0566459199300965
TRIM8	0.0565546815106098
PIGB	0.0565546815106098
COMMD10	0.0564880842396676
B4GAT1	0.0564265254390291
NDC1	0.0562837848364885
CPA3	0.0562735269744083
TRMT11	0.0561659474867006
TOP2A	0.0559691615533612
PSIP1	0.0558603462412886
SPR	0.0558205329692879
NT5C2	0.0557674353564307
IVNS1ABP	0.055736724994674
PPP1R14B	0.0556607503005153
RALGAPB	0.0556455312779265
SH3BGRL	0.0555802441097168
AURKB	0.055571754756397
FANCL	0.0554379359142923
BECN1	0.0553965553533779
SRP14	0.0553965553533779
OCEL1	0.055373453311566
PRKCD	0.0553706009465558
TUBB4B	0.0553630911555768
SERPINA5	0.0553088792169505
ORMDL2	0.0552552328247825
YWHAQ	0.0552294364486654
RIPOR1	0.0551751302714496
RCAN1	0.0551444666392976
SNRPN	0.0551055751814265
IL10RB	0.0551055751814265
CKS2	0.0550335197867417
GMDS	0.0549663261997129
EFCAB11	0.0549323604782273
SEC14L2	0.0549172176324828
CCPG1	0.0547736298249479
CENPN	0.0547736298249477
HSD17B8	0.0546095507610282
CLSTN2	0.0545779850439797
COG2	0.0545779850439793
CALML5	0.0545645448343538
SNRPA1	0.0544996833028951
LZTS3	0.0544996833028951
KCND3	0.0544798097051908
GJA1	0.0544406938122208
TTYH1	0.0544335494227887
NUP205	0.0544287920937324
SSH3	0.054397444114925
XIST	0.0543831274666777
MOCOS	0.0543510130805811
PFDN5	0.0543510130805811
CCNI	0.0541966452552492
FBXO5	0.0541466121281425
RAN	0.0541466121281425
KIF14	0.0541436811525065
SYNC	0.0541146797439636
TUBB6	0.0540800148572005
MAN2B2	0.0540800148572003
NELFB	0.054049770667035
MCM3	0.054049770667035
FNDC3B	0.0540231975909071
PDK1	0.0540231975909071
NDUFB5	0.0538382647158006
ASNSD1	0.0538372350572655
MAD2L1	0.0538284654197078
MRFAP1L1	0.0538284654197077
GBP1	0.0537428614323601
PLOD1	0.0537319482186433
RASGRP3	0.053707225222152
RARA	0.0536829021692468
ZNF688	0.0536829021692468
PAPSS1	0.0536757020438413
SAP30	0.0536729578057286
TSPAN15	0.0536181001364374
DNAJC9	0.0535628807702812
SYNCRIP	0.0535550739907402
IQCG	0.0534447068185246
RHBDL2	0.0534250293063919
HMGA1	0.0534250293063919
CALU	0.0534250293063917
SF3B3	0.0534126994542582
PDCD10	0.0534126994542581
TXN	0.0533593659739634
PSAT1	0.053252680918048
EIF4G1	0.053252680918048
MCM7	0.053252680918048
ERBB3	0.053249661110931
KRT16	0.053249661110931
MRPS30	0.053166034589275
API5	0.0531151291408007
STK38	0.0531151291408007
ECM1	0.0530551958587889
PNPLA4	0.0530319778561825
DHCR24	0.0530189048177378
RSU1	0.0529008098344834
RNF138	0.0529008098344834
TMC5	0.0529008098344834
IL13RA1	0.0529008098344833
PIERCE1	0.0529008098344833
NDC80	0.0528835813669391
LMAN1	0.0527904406860589
CDC25C	0.0527738852433761
SFXN3	0.052761979486629
GPSM2	0.052761979486629
SERBP1	0.052761979486629
U2AF1	0.052761979486629
ASNS	0.0526946527776183
PAX2	0.0526946527776183
SMURF2	0.0526575646718666
ROR1	0.0526575646718666
IKBKB	0.0526263093134412
PNKP	0.0525440058992518
MTCH2	0.0525391472197553
QDPR	0.0525083534457752
RAMP1	0.052506229421075
HOXB2	0.052506229421075
ROCK2	0.0524835529069405
MACROH2A1	0.0524736568472908
MED13L	0.0524732601989016
RNF38	0.0524500227329499
DHTKD1	0.0524125963126167
GATA6	0.0522811613378098
CDC7	0.0522800184457879
TMBIM4	0.0522458242836747
DNAJC1	0.0521531885188329
RBL1	0.0521531885188328
MTARC2	0.0521531885188328
PPP1R3C	0.0520898524797681
IGFBP4	0.0520741511262036
TPGS2	0.0520565415712674
BCL2	0.0520565415712673
BAG6	0.052044940354741
BTF3	0.0520299684951394
FAF1	0.0520153156263578
GASK1B	0.0520087565072494
ESPL1	0.0519962642285511
CBS	0.0519355948702338
PRSS23	0.0518894682364971
PELI1	0.051889468236497
RMDN3	0.0518659436232988
ETV6	0.0518375395248979
DLGAP5	0.0518307099632084
SIX3	0.0518055099859056
JADE2	0.0518046284502569
LMNB2	0.0518046284502569
EVA1B	0.0517893158553361
XPO1	0.051789315855336
VAV3	0.0517458809678029
YARS1	0.0517458809678027
SLC67A1	0.0517361663958014
RPS27	0.0517165020746689
CHEK1	0.0517053576047447
FAM13B	0.0516030879645083
DESI2	0.0515786117551842
PDIA6	0.0515786117551842
COX16	0.0513644167782756
LYRM9	0.0513644167782756
DNAI4	0.0513644167782756
PEX12	0.0512967794898111
PTGER3	0.0512967794898111
TNFRSF21	0.0512764140733124
UBE2S	0.0512564320151635
WFS1	0.0512564320151633
DDIT4	0.0512564320151633
CYB561D2	0.0512564320151633
GTPBP4	0.0512564320151633
DZANK1	0.0511700433915428
RRM2	0.0511700433915428
TRAF5	0.0511700433915427
CCNB1IP1	0.0511625215296919
SRSF6	0.0511625215296918
PLOD2	0.0510971930187938
C1GALT1	0.0510785675923519
SKIC3	0.0510295572518004
FZD7	0.0510213186911483
MCAM	0.0510213186911483
RBM47	0.0510213186911483
C3orf52	0.0509846263258673
IRAK1	0.0509120553199529
CXCL10	0.0508921990914118
ASPM	0.0507812772606184
GGH	0.0506703184487482
SLC15A1	0.0506075399542939
PTK7	0.050570166067587
ANGEL2	0.0505550452031616
PLEKHF2	0.0505550452031616
AHNAK	0.0504749747047203
BRPF1	0.0503848796605992
TAF11	0.0503848796605992
UGCG	0.0503823713035912
HSPA2	0.0503046955521954
TIPARP	0.0503046955521954
DBF4	0.050264649906007
PRKAB1	0.0502124997582788
GPRC5A	0.0501505316609955
CSNK1G3	0.0501359365167847
PRSS16	0.0500226390871938
XRCC6	0.0499135828661292
HDGF	0.0498331024032711
FAM174B	0.049833102403271
GSTP1	0.0498331024032708
HCRT	0.0497846791223167
WASF3	0.049742742786492
MVP	0.0497328502972361
CLGN	0.0496965496107944
ABLIM3	0.0496965496107942
DSG2	0.0496847261342577
CCNC	0.0493918507137671
PBLD	0.0493918507137671
FOXM1	0.0493918507137671
RTN2	0.0493783334741267
LPIN1	0.0493711876825081
GPX7	0.0493711876825079
EPCAM	0.0493644721507756
SLC1A4	0.0493403939085278
ZBTB5	0.0493059267439173
TNPO2	0.0493048880263264
SPDEF	0.0493048880263262
RRP1B	0.0492831849775449
DHRS7	0.0492831849775447
CCT4	0.0492831849775447
SULT1A1	0.0492831849775447
KCNN4	0.0492519642937077
ABCF1	0.0492113444146819
LRRC8D	0.0492086637032636
GPRC5B	0.0492086637032634
MZF1	0.0491509146373488
UGDH	0.0491264727911971
STMN2	0.0490824406708696
SIGIRR	0.0490824406708693
JMJD7	0.0488984246793451
ZNF32	0.0488666929706475
SLC27A2	0.0487838018664654
RASA1	0.0487540802274743
S100B	0.048744721739584
AR	0.0486538973805539
CLCN3	0.0486538973805537
NT5DC2	0.0486538973805537
SLC43A3	0.0485304129859338
GSTM3	0.0484761048077748
TOPBP1	0.0483891649359693
TNS2	0.0483542207437596
ZNF263	0.0483432217392197
ERCC6L	0.0483032626601813
FXYD2	0.0482756608923603
GUSBP14	0.0482725575918234
SEMA3F	0.0482614409918457
CEP192	0.0482560716800895
PRKAG1	0.0482560716800895
MTMR2	0.0482555133930254
DECR2	0.0482406619711452
IDH2	0.0482406619711452
PGR	0.048240661971145
POLR1E	0.0482031102790204
SMC6	0.0482031102790204
CHRM3	0.0482031102790204
GPX4	0.0481425129074751
YTHDC2	0.0481425129074749
SALL2	0.0481311963024374
CDK1	0.0481256830036093
BTG2	0.0481256830036092
MAOA	0.0481049612153503
MEIS3P1	0.0480294586805463
RBKS	0.0479744339282584
KIFC1	0.0479368229157044
CEACAM1	0.0479296288210843
KHNYN	0.0479047057319741
CXCL13	0.04788038828113
SLC25A46	0.0478801012031153
NECAB3	0.0478608618499887
TNK1	0.0478168792876411
RNF103	0.0478168792876411
ARFGEF1	0.0478168792876409
HEXIM1	0.0478133738540458
NUDT4	0.0477640203888812
NFIL3	0.0477619127286797
RAD51AP1	0.0477332266149009
UBAP2	0.0476677960658183
PIGT	0.0476550755665957
IGKV1D-13	0.0476296700440017
DDX18	0.0476145697047265
SF3B5	0.0476145697047265
RNF144A	0.0476145697047265
ECI2	0.0476145697047263
NDN	0.0475641976684623
RAB11FIP3	0.0475055134836622
ATR	0.0475055134836619
YWHAH	0.0474808296638212
NUDT9	0.0474668073661353
ATP6V0C	0.0474539112481014
TM9SF1	0.047442537039696
RAB11FIP1	0.047442537039696
CSAD	0.047380515131978
CRAT	0.0473527011493955
ASS1	0.0473527011493955
RANBP6	0.0473527011493955
HHAT	0.0473443879760258
MEAK7	0.0473443879760258
ZNF750	0.047342190143822
FAM114A2	0.047342190143822
CST3	0.0473421901438219
ARRB1	0.0473218247273233
F8	0.0473116589305588
CERS6	0.0473116589305586
SYTL2	0.0473116589305586
ATP6V0E1	0.0471884161721191
VTI1B	0.0471412160041362
ELOVL5	0.0471240719514708
FAH	0.0471240719514708
STOML2	0.0471154274995614
LRP10	0.0471154274995613
NCALD	0.0470934110594624
CYB5R2	0.0468954810115761
MIA	0.0468497442097957
RPS14	0.0468229041788719
FAM204A	0.0468058512768517
DSN1	0.0467728820546783
GAMT	0.0467506278412639
NDUFA2	0.0467184034087298
PLAGL1	0.0467106822551229
ABCA3	0.0466793721449263
TSPAN6	0.0465948305216971
RGS12	0.0464359257788467
LSR	0.0464176388889832
SKA1	0.0464176388889831
