feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
HALLMARK_MITOTIC_SPINDLE	0.1452110942815832	0.1452110942815832	bi_only	elastic_net_logreg	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.11173006947250277	0.11173006947250277	bi_only	elastic_net_logreg	1	1
HALLMARK_G2M_CHECKPOINT	0.1081307717632926	0.1081307717632926	bi_only	elastic_net_logreg	1	1
HYPOXIA	0.08783597040715405	0.08783597040715405	bi_only	elastic_net_logreg	1	1
HALLMARK_E2F_TARGETS	0.08581894565786462	0.08581894565786462	bi_only	elastic_net_logreg	1	1
HALLMARK_MYC_TARGETS_V1	0.06357391510966477	0.06357391510966477	bi_only	elastic_net_logreg	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.061733640384296386	0.061733640384296386	bi_only	elastic_net_logreg	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.059141510057581996	0.059141510057581996	bi_only	elastic_net_logreg	1	1
HALLMARK_XENOBIOTIC_METABOLISM	-0.05404315482361702	0.05404315482361702	bi_only	elastic_net_logreg	1	1
HALLMARK_UV_RESPONSE_UP	0.05227696439306242	0.05227696439306242	bi_only	elastic_net_logreg	1	1
TREG_MYELOID_SUPPRESSION	0.05208783670277161	0.05208783670277161	bi_only	elastic_net_logreg	1	1
HALLMARK_GLYCOLYSIS	0.03777125507772599	0.03777125507772599	bi_only	elastic_net_logreg	1	1
HALLMARK_MYC_TARGETS_V2	0.027477721215869565	0.027477721215869565	bi_only	elastic_net_logreg	1	1
HALLMARK_SPERMATOGENESIS	0.023043486598192713	0.023043486598192713	bi_only	elastic_net_logreg	1	1
HALLMARK_NOTCH_SIGNALING	0.02169512441033637	0.02169512441033637	bi_only	elastic_net_logreg	1	1
HALLMARK_HYPOXIA	0.019608789465812296	0.019608789465812296	bi_only	elastic_net_logreg	1	1
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.014820403570536845	0.014820403570536845	bi_only	elastic_net_logreg	1	1
HALLMARK_PEROXISOME	-0.014222857674809545	0.014222857674809545	bi_only	elastic_net_logreg	1	1
HALLMARK_MTORC1_SIGNALING	0.007133043338814907	0.007133043338814907	bi_only	elastic_net_logreg	1	1
HALLMARK_FATTY_ACID_METABOLISM	-0.0010330690035377716	0.0010330690035377716	bi_only	elastic_net_logreg	1	1
TGF_BETA_SIGNALING	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_PROTEIN_SECRETION	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0	0.0	bi_only	elastic_net_logreg	1	1
immune_balance_index	0.0	0.0	bi_only	elastic_net_logreg	1	1
suppression	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_TGF_BETA_SIGNALING	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0	0.0	bi_only	elastic_net_logreg	1	1
activation	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_UV_RESPONSE_DN	0.0	0.0	bi_only	elastic_net_logreg	1	1
T_CELL_INFLAMED	0.0	0.0	bi_only	elastic_net_logreg	1	1
IFNG_RESPONSE	0.0	0.0	bi_only	elastic_net_logreg	1	1
EMT	0.0	0.0	bi_only	elastic_net_logreg	1	1
ANGIOGENESIS	0.0	0.0	bi_only	elastic_net_logreg	1	1
ANTIGEN_PRESENTATION	0.0	0.0	bi_only	elastic_net_logreg	1	1
ECM_REMODELING	0.0	0.0	bi_only	elastic_net_logreg	1	1
CD8_NK	0.0	0.0	bi_only	elastic_net_logreg	1	1
CYTOLYTIC_ACTIVITY	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_ADIPOGENESIS	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_PANCREAS_BETA_CELLS	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_HEDGEHOG_SIGNALING	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_ANDROGEN_RESPONSE	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_ANGIOGENESIS	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_APICAL_JUNCTION	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_APICAL_SURFACE	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_APOPTOSIS	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_BILE_ACID_METABOLISM	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_COAGULATION	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_COMPLEMENT	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_DNA_REPAIR	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_HEME_METABOLISM	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_P53_PATHWAY	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_INFLAMMATORY_RESPONSE	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0	0.0	bi_only	elastic_net_logreg	1	1
HALLMARK_KRAS_SIGNALING_DN	0.0	0.0	bi_only	elastic_net_logreg	1	1
