feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
HALLMARK_MITOTIC_SPINDLE	0.19211248787545476	0.19211248787545476	bi_only	linear_svm	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.16899668531659423	0.16899668531659423	bi_only	linear_svm	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.1504570684846176	0.1504570684846176	bi_only	linear_svm	1	1
HALLMARK_G2M_CHECKPOINT	0.11814138482901516	0.11814138482901516	bi_only	linear_svm	1	1
TREG_MYELOID_SUPPRESSION	0.11554709116334275	0.11554709116334275	bi_only	linear_svm	1	1
HYPOXIA	0.1136586423854098	0.1136586423854098	bi_only	linear_svm	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.10383056882417	0.10383056882417	bi_only	linear_svm	1	1
HALLMARK_HYPOXIA	0.10256285629975442	0.10256285629975442	bi_only	linear_svm	1	1
HALLMARK_XENOBIOTIC_METABOLISM	-0.0931217113176808	0.0931217113176808	bi_only	linear_svm	1	1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.09167636610967098	0.09167636610967098	bi_only	linear_svm	1	1
HALLMARK_UV_RESPONSE_UP	0.09061619016177588	0.09061619016177588	bi_only	linear_svm	1	1
HALLMARK_E2F_TARGETS	0.08428245885093984	0.08428245885093984	bi_only	linear_svm	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.08195149785435221	0.08195149785435221	bi_only	linear_svm	1	1
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.07285111702842659	0.07285111702842659	bi_only	linear_svm	1	1
suppression	0.07156460414341952	0.07156460414341952	bi_only	linear_svm	1	1
HALLMARK_PEROXISOME	-0.06717759596973918	0.06717759596973918	bi_only	linear_svm	1	1
HALLMARK_GLYCOLYSIS	0.06672605662988253	0.06672605662988253	bi_only	linear_svm	1	1
HALLMARK_BILE_ACID_METABOLISM	0.06627080019135327	0.06627080019135327	bi_only	linear_svm	1	1
HALLMARK_MYC_TARGETS_V1	0.0639137200266059	0.0639137200266059	bi_only	linear_svm	1	1
HALLMARK_HEDGEHOG_SIGNALING	-0.06153685261633785	0.06153685261633785	bi_only	linear_svm	1	1
HALLMARK_P53_PATHWAY	0.0614493415151633	0.0614493415151633	bi_only	linear_svm	1	1
HALLMARK_NOTCH_SIGNALING	0.06038050647971734	0.06038050647971734	bi_only	linear_svm	1	1
TGF_BETA_SIGNALING	0.0524436928055145	0.0524436928055145	bi_only	linear_svm	1	1
HALLMARK_APOPTOSIS	-0.051824897367012	0.051824897367012	bi_only	linear_svm	1	1
HALLMARK_PANCREAS_BETA_CELLS	0.049279524654095734	0.049279524654095734	bi_only	linear_svm	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.04686000399212849	0.04686000399212849	bi_only	linear_svm	1	1
HALLMARK_MYOGENESIS	-0.045186910459386685	0.045186910459386685	bi_only	linear_svm	1	1
HALLMARK_COAGULATION	-0.04372557111406366	0.04372557111406366	bi_only	linear_svm	1	1
HALLMARK_HEME_METABOLISM	-0.040285923872011485	0.040285923872011485	bi_only	linear_svm	1	1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.03841523070063189	0.03841523070063189	bi_only	linear_svm	1	1
HALLMARK_MTORC1_SIGNALING	0.036566523291370216	0.036566523291370216	bi_only	linear_svm	1	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.03592533846194929	0.03592533846194929	bi_only	linear_svm	1	1
HALLMARK_ANDROGEN_RESPONSE	-0.03406900321294682	0.03406900321294682	bi_only	linear_svm	1	1
immune_balance_index	-0.033972553861251295	0.033972553861251295	bi_only	linear_svm	1	1
immune_balance_ratio	-0.031210310292544223	0.031210310292544223	bi_only	linear_svm	1	1
HALLMARK_PROTEIN_SECRETION	0.030159863180197824	0.030159863180197824	bi_only	linear_svm	1	1
HALLMARK_DNA_REPAIR	0.02979600319350087	0.02979600319350087	bi_only	linear_svm	1	1
HALLMARK_FATTY_ACID_METABOLISM	-0.029056074349607535	0.029056074349607535	bi_only	linear_svm	1	1
HALLMARK_COMPLEMENT	-0.02530972011043966	0.02530972011043966	bi_only	linear_svm	1	1
