feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
HALLMARK_MITOTIC_SPINDLE	0.1392567870933591	0.1392567870933591	bi_only	ridge_logreg	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.12634583566314064	0.12634583566314064	bi_only	ridge_logreg	1	1
HALLMARK_G2M_CHECKPOINT	0.09692247028691219	0.09692247028691219	bi_only	ridge_logreg	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.09540619730889703	0.09540619730889703	bi_only	ridge_logreg	1	1
HYPOXIA	0.09072779090648952	0.09072779090648952	bi_only	ridge_logreg	1	1
HALLMARK_E2F_TARGETS	0.07757926827879578	0.07757926827879578	bi_only	ridge_logreg	1	1
TREG_MYELOID_SUPPRESSION	0.07656690804492372	0.07656690804492372	bi_only	ridge_logreg	1	1
HALLMARK_HYPOXIA	0.07377934354795278	0.07377934354795278	bi_only	ridge_logreg	1	1
HALLMARK_UV_RESPONSE_UP	0.07030655344070354	0.07030655344070354	bi_only	ridge_logreg	1	1
HALLMARK_XENOBIOTIC_METABOLISM	-0.0697656070079079	0.0697656070079079	bi_only	ridge_logreg	1	1
HALLMARK_GLYCOLYSIS	0.0677748477931434	0.0677748477931434	bi_only	ridge_logreg	1	1
HALLMARK_NOTCH_SIGNALING	0.06737835656683067	0.06737835656683067	bi_only	ridge_logreg	1	1
HALLMARK_MYC_TARGETS_V1	0.0657969666676188	0.0657969666676188	bi_only	ridge_logreg	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.06171166649644261	0.06171166649644261	bi_only	ridge_logreg	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.05905321173916402	0.05905321173916402	bi_only	ridge_logreg	1	1
HALLMARK_PEROXISOME	-0.05749196487427804	0.05749196487427804	bi_only	ridge_logreg	1	1
HALLMARK_P53_PATHWAY	0.050660336620783473	0.050660336620783473	bi_only	ridge_logreg	1	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.04735919739052278	0.04735919739052278	bi_only	ridge_logreg	1	1
HALLMARK_FATTY_ACID_METABOLISM	-0.04524265556913856	0.04524265556913856	bi_only	ridge_logreg	1	1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.045166891070140255	0.045166891070140255	bi_only	ridge_logreg	1	1
HALLMARK_SPERMATOGENESIS	0.04230767748355451	0.04230767748355451	bi_only	ridge_logreg	1	1
HALLMARK_APOPTOSIS	-0.04019920175574156	0.04019920175574156	bi_only	ridge_logreg	1	1
HALLMARK_COAGULATION	-0.038847072718599836	0.038847072718599836	bi_only	ridge_logreg	1	1
HALLMARK_MYC_TARGETS_V2	0.03632941394997297	0.03632941394997297	bi_only	ridge_logreg	1	1
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.036209760748786166	0.036209760748786166	bi_only	ridge_logreg	1	1
immune_balance_ratio	-0.03398640450069439	0.03398640450069439	bi_only	ridge_logreg	1	1
ECM_REMODELING	-0.03306443230641033	0.03306443230641033	bi_only	ridge_logreg	1	1
HALLMARK_DNA_REPAIR	0.03222842247719918	0.03222842247719918	bi_only	ridge_logreg	1	1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.03199738426740112	0.03199738426740112	bi_only	ridge_logreg	1	1
