feature	gain	feature_set	model	repeat	fold
HALLMARK_G2M_CHECKPOINT	0.066510625	bi_only	xgboost	1	1
HALLMARK_KRAS_SIGNALING_UP	0.044632	bi_only	xgboost	1	1
HALLMARK_MITOTIC_SPINDLE	0.04337214	bi_only	xgboost	1	1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.031348497	bi_only	xgboost	1	1
activation	0.029622821	bi_only	xgboost	1	1
HALLMARK_E2F_TARGETS	0.027328497	bi_only	xgboost	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.026275175	bi_only	xgboost	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.025864884	bi_only	xgboost	1	1
CYTOLYTIC_ACTIVITY	0.022665568	bi_only	xgboost	1	1
HALLMARK_FATTY_ACID_METABOLISM	0.021528123	bi_only	xgboost	1	1
HALLMARK_INFLAMMATORY_RESPONSE	0.02142359	bi_only	xgboost	1	1
HALLMARK_UV_RESPONSE_UP	0.020751834	bi_only	xgboost	1	1
ANTIGEN_PRESENTATION	0.018913139	bi_only	xgboost	1	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.018338881	bi_only	xgboost	1	1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.017572396	bi_only	xgboost	1	1
HALLMARK_UV_RESPONSE_DN	0.01703195	bi_only	xgboost	1	1
TREG_MYELOID_SUPPRESSION	0.015710935	bi_only	xgboost	1	1
HALLMARK_PROTEIN_SECRETION	0.015674006	bi_only	xgboost	1	1
HALLMARK_APOPTOSIS	0.015051559	bi_only	xgboost	1	1
HALLMARK_PANCREAS_BETA_CELLS	0.014653636	bi_only	xgboost	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.014482235	bi_only	xgboost	1	1
HALLMARK_XENOBIOTIC_METABOLISM	0.014398892	bi_only	xgboost	1	1
EMT	0.014143633	bi_only	xgboost	1	1
HALLMARK_ALLOGRAFT_REJECTION	0.014115306	bi_only	xgboost	1	1
HALLMARK_PEROXISOME	0.014044071	bi_only	xgboost	1	1
HALLMARK_ADIPOGENESIS	0.013589814	bi_only	xgboost	1	1
HALLMARK_BILE_ACID_METABOLISM	0.013545259	bi_only	xgboost	1	1
immune_balance_ratio	0.013489061	bi_only	xgboost	1	1
HALLMARK_MTORC1_SIGNALING	0.013470493	bi_only	xgboost	1	1
HALLMARK_NOTCH_SIGNALING	0.013169216	bi_only	xgboost	1	1
HALLMARK_ANDROGEN_RESPONSE	0.012722282	bi_only	xgboost	1	1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0125805875	bi_only	xgboost	1	1
IFNG_RESPONSE	0.012458828	bi_only	xgboost	1	1
CD8_NK	0.012381352	bi_only	xgboost	1	1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.012287925	bi_only	xgboost	1	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.012135251	bi_only	xgboost	1	1
HALLMARK_SPERMATOGENESIS	0.012034807	bi_only	xgboost	1	1
HALLMARK_APICAL_SURFACE	0.012014828	bi_only	xgboost	1	1
HALLMARK_COMPLEMENT	0.011805813	bi_only	xgboost	1	1
HALLMARK_GLYCOLYSIS	0.0116982	bi_only	xgboost	1	1
immune_balance_index	0.010959205	bi_only	xgboost	1	1
HALLMARK_MYC_TARGETS_V1	0.010914902	bi_only	xgboost	1	1
HALLMARK_MYOGENESIS	0.010884436	bi_only	xgboost	1	1
T_CELL_INFLAMED	0.010788697	bi_only	xgboost	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.010622149	bi_only	xgboost	1	1
HALLMARK_DNA_REPAIR	0.010610625	bi_only	xgboost	1	1
ANGIOGENESIS	0.010427109	bi_only	xgboost	1	1
HALLMARK_HEDGEHOG_SIGNALING	0.010053302	bi_only	xgboost	1	1
HALLMARK_KRAS_SIGNALING_DN	0.009944321	bi_only	xgboost	1	1
HYPOXIA	0.009904142	bi_only	xgboost	1	1
HALLMARK_ANGIOGENESIS	0.009829246	bi_only	xgboost	1	1
ECM_REMODELING	0.009788513	bi_only	xgboost	1	1
HALLMARK_TGF_BETA_SIGNALING	0.009633252	bi_only	xgboost	1	1
HALLMARK_MYC_TARGETS_V2	0.009401259	bi_only	xgboost	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.009219274	bi_only	xgboost	1	1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.009052964	bi_only	xgboost	1	1
HALLMARK_COAGULATION	0.008930953	bi_only	xgboost	1	1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.007886082	bi_only	xgboost	1	1
HALLMARK_P53_PATHWAY	0.0074094497	bi_only	xgboost	1	1
HALLMARK_HYPOXIA	0.0073737344	bi_only	xgboost	1	1
suppression	0.0072871577	bi_only	xgboost	1	1
HALLMARK_APICAL_JUNCTION	0.00684553	bi_only	xgboost	1	1
HALLMARK_HEME_METABOLISM	0.0065028723	bi_only	xgboost	1	1
TGF_BETA_SIGNALING	0.005546171	bi_only	xgboost	1	1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0053466046	bi_only	xgboost	1	1
HALLMARK_MITOTIC_SPINDLE	0.048889596	bi_only	xgboost	1	2
HALLMARK_MTORC1_SIGNALING	0.04606127	bi_only	xgboost	1	2
