feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
er_status_ihc_esr1_for indeterminate_P	-0.5605626906120393	0.5605626906120393	clinical_only	elastic_net_logreg	1	1
grade_3	0.45257239282658196	0.45257239282658196	clinical_only	elastic_net_logreg	1	1
clinical_t_stage_T4	-0.43565715994147636	0.43565715994147636	clinical_only	elastic_net_logreg	1	1
er_status_ihc_esr1_for indeterminate_N	0.3789817383324916	0.3789817383324916	clinical_only	elastic_net_logreg	1	1
grade_2	-0.3493741374689933	0.3493741374689933	clinical_only	elastic_net_logreg	1	1
age_years	-0.30583787499918536	0.30583787499918536	clinical_only	elastic_net_logreg	1	1
clinical_nodal_status_N0	-0.09064322812858724	0.09064322812858724	clinical_only	elastic_net_logreg	1	1
clinical_nodal_status_N1	0.005808017254029924	0.005808017254029924	clinical_only	elastic_net_logreg	1	1
clinical_ajcc_stage_IIA	0.0	0.0	clinical_only	elastic_net_logreg	1	1
grade_Indeterminate	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_ajcc_stage_IIB	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_t_stage_T1	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_t_stage_T2	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_nodal_status_N3	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	1	1
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_t_stage_T0	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_t_stage_T3	0.0	0.0	clinical_only	elastic_net_logreg	1	1
clinical_ajcc_stage_I	0.0	0.0	clinical_only	elastic_net_logreg	1	1
er_status_ihc_esr1_for indeterminate_P	-0.5824378815500544	0.5824378815500544	clinical_only	elastic_net_logreg	1	2
grade_2	-0.5578525478466511	0.5578525478466511	clinical_only	elastic_net_logreg	1	2
grade_3	0.46966067726984667	0.46966067726984667	clinical_only	elastic_net_logreg	1	2
er_status_ihc_esr1_for indeterminate_N	0.27140234081305564	0.27140234081305564	clinical_only	elastic_net_logreg	1	2
clinical_nodal_status_N3	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_ajcc_stage_IIB	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_ajcc_stage_IIA	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_ajcc_stage_I	0.0	0.0	clinical_only	elastic_net_logreg	1	2
age_years	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	1	2
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_nodal_status_N0	0.0	0.0	clinical_only	elastic_net_logreg	1	2
clinical_t_stage_T4	0.0	0.0	clinical_only	elastic_net_logreg	1	2
