feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
er_status_ihc_esr1_for indeterminate_N	0.3990784822269732	0.3990784822269732	clinical_only	linear_svm	1	1
er_status_ihc_esr1_for indeterminate_P	-0.39907848222697306	0.39907848222697306	clinical_only	linear_svm	1	1
grade_3	0.33350554077052397	0.33350554077052397	clinical_only	linear_svm	1	1
grade_2	-0.2536715331551015	0.2536715331551015	clinical_only	linear_svm	1	1
age_years	-0.18915223214234014	0.18915223214234014	clinical_only	linear_svm	1	1
clinical_t_stage_T4	-0.14554676344597808	0.14554676344597808	clinical_only	linear_svm	1	1
clinical_t_stage_T1	0.09870894811994288	0.09870894811994288	clinical_only	linear_svm	1	1
clinical_nodal_status_N0	-0.07722579303135121	0.07722579303135121	clinical_only	linear_svm	1	1
grade_1	-0.06557294145644932	0.06557294145644932	clinical_only	linear_svm	1	1
clinical_nodal_status_N1	0.06450268498756317	0.06450268498756317	clinical_only	linear_svm	1	1
clinical_ajcc_stage_IIIB	-0.05928129462160875	0.05928129462160875	clinical_only	linear_svm	1	1
clinical_ajcc_stage_IIIA	0.04767670157068074	0.04767670157068074	clinical_only	linear_svm	1	1
clinical_ajcc_stage_IIB	0.03947591202230838	0.03947591202230838	clinical_only	linear_svm	1	1
clinical_t_stage_T3	0.03537303664921479	0.03537303664921479	clinical_only	linear_svm	1	1
clinical_ajcc_stage_I	0.03495359352689195	0.03495359352689195	clinical_only	linear_svm	1	1
clinical_ajcc_stage_IIIC	-0.022510114231318414	0.022510114231318414	clinical_only	linear_svm	1	1
clinical_ajcc_stage_IIA	-0.021859300884754435	0.021859300884754435	clinical_only	linear_svm	1	1
clinical_ajcc_stage_Inflammatory	-0.018455497382198954	0.018455497382198954	clinical_only	linear_svm	1	1
clinical_t_stage_T2	0.017616611137553778	0.017616611137553778	clinical_only	linear_svm	1	1
grade_Indeterminate	-0.014261066158971908	0.014261066158971908	clinical_only	linear_svm	1	1
clinical_nodal_status_N2	0.010486078058067547	0.010486078058067547	clinical_only	linear_svm	1	1
clinical_t_stage_T0	-0.006151832460732984	0.006151832460732984	clinical_only	linear_svm	1	1
clinical_nodal_status_N3	0.002237029985721062	0.002237029985721062	clinical_only	linear_svm	1	1
er_status_ihc_esr1_for indeterminate_P	-0.5913332131145315	0.5913332131145315	clinical_only	linear_svm	1	2
er_status_ihc_esr1_for indeterminate_N	0.5913332131145315	0.5913332131145315	clinical_only	linear_svm	1	2
grade_3	0.5717592007394714	0.5717592007394714	clinical_only	linear_svm	1	2
clinical_ajcc_stage_Inflammatory	-0.24607329842931938	0.24607329842931938	clinical_only	linear_svm	1	2
grade_2	-0.24575947030293716	0.24575947030293716	clinical_only	linear_svm	1	2
grade_1	-0.24490739345414608	0.24490739345414608	clinical_only	linear_svm	1	2
clinical_t_stage_T4	-0.20273084245597361	0.20273084245597361	clinical_only	linear_svm	1	2
clinical_ajcc_stage_IIIB	0.18707259084408207	0.18707259084408207	clinical_only	linear_svm	1	2
clinical_ajcc_stage_I	-0.18455497382198954	0.18455497382198954	clinical_only	linear_svm	1	2
clinical_ajcc_stage_IIA	0.1298963644582704	0.1298963644582704	clinical_only	linear_svm	1	2
clinical_nodal_status_N2	0.11803644768664917	0.11803644768664917	clinical_only	linear_svm	1	2
clinical_ajcc_stage_IIB	0.11726137473589054	0.11726137473589054	clinical_only	linear_svm	1	2
clinical_nodal_status_N3	-0.08137100744244796	0.08137100744244796	clinical_only	linear_svm	1	2
grade_Indeterminate	-0.08109233698238949	0.08109233698238949	clinical_only	linear_svm	1	2
clinical_t_stage_T3	0.0800101757147243	0.0800101757147243	clinical_only	linear_svm	1	2
clinical_t_stage_T2	0.06756505702933308	0.06756505702933308	clinical_only	linear_svm	1	2
clinical_t_stage_T1	0.055155609711915465	0.055155609711915465	clinical_only	linear_svm	1	2
clinical_nodal_status_N0	-0.024803841832899742	0.024803841832899742	clinical_only	linear_svm	1	2
clinical_ajcc_stage_IIIA	-0.02457421390307013	0.02457421390307013	clinical_only	linear_svm	1	2
clinical_ajcc_stage_IIIC	0.02097215611613515	0.02097215611613515	clinical_only	linear_svm	1	2
clinical_nodal_status_N1	-0.011861598411302077	0.011861598411302077	clinical_only	linear_svm	1	2
age_years	-0.00016678177245212772	0.00016678177245212772	clinical_only	linear_svm	1	2
clinical_t_stage_T0	0.0	0.0	clinical_only	linear_svm	1	2
