feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
er_status_ihc_esr1_for indeterminate_P	-0.18794124012639546	0.18794124012639546	clinical_only	ridge_logreg	1	1
er_status_ihc_esr1_for indeterminate_N	0.15902476035334132	0.15902476035334132	clinical_only	ridge_logreg	1	1
age_years	-0.14439818713913422	0.14439818713913422	clinical_only	ridge_logreg	1	1
grade_3	0.14187901053598068	0.14187901053598068	clinical_only	ridge_logreg	1	1
grade_2	-0.13588821957926991	0.13588821957926991	clinical_only	ridge_logreg	1	1
clinical_t_stage_T4	-0.07998361452064935	0.07998361452064935	clinical_only	ridge_logreg	1	1
clinical_nodal_status_N0	-0.05360146761434712	0.05360146761434712	clinical_only	ridge_logreg	1	1
clinical_t_stage_T1	0.03720950782031826	0.03720950782031826	clinical_only	ridge_logreg	1	1
clinical_ajcc_stage_IIIB	-0.03407629588106341	0.03407629588106341	clinical_only	ridge_logreg	1	1
clinical_nodal_status_N1	0.03278635878776929	0.03278635878776929	clinical_only	ridge_logreg	1	1
grade_1	-0.02485515932285031	0.02485515932285031	clinical_only	ridge_logreg	1	1
clinical_ajcc_stage_IIB	0.01948818181725903	0.01948818181725903	clinical_only	ridge_logreg	1	1
clinical_ajcc_stage_IIIC	-0.018183964877088444	0.018183964877088444	clinical_only	ridge_logreg	1	1
clinical_ajcc_stage_IIIA	0.01733433888226982	0.01733433888226982	clinical_only	ridge_logreg	1	1
clinical_t_stage_T3	0.016451915343863983	0.016451915343863983	clinical_only	ridge_logreg	1	1
clinical_ajcc_stage_IIA	-0.015068862474124098	0.015068862474124098	clinical_only	ridge_logreg	1	1
clinical_ajcc_stage_I	0.011000029049260377	0.011000029049260377	clinical_only	ridge_logreg	1	1
grade_Indeterminate	-0.010052111406914494	0.010052111406914494	clinical_only	ridge_logreg	1	1
clinical_ajcc_stage_Inflammatory	-0.0094099062895673	0.0094099062895673	clinical_only	ridge_logreg	1	1
clinical_t_stage_T0	-0.004899617471736491	0.004899617471736491	clinical_only	ridge_logreg	1	1
clinical_nodal_status_N2	-0.004322590992319222	0.004322590992319222	clinical_only	ridge_logreg	1	1
clinical_nodal_status_N3	-0.0037787799541568966	0.0037787799541568966	clinical_only	ridge_logreg	1	1
clinical_t_stage_T2	0.002305329055149659	0.002305329055149659	clinical_only	ridge_logreg	1	1
er_status_ihc_esr1_for indeterminate_P	-0.19560297361236653	0.19560297361236653	clinical_only	ridge_logreg	1	2
grade_2	-0.18143119658359366	0.18143119658359366	clinical_only	ridge_logreg	1	2
grade_3	0.17177932995603493	0.17177932995603493	clinical_only	ridge_logreg	1	2
er_status_ihc_esr1_for indeterminate_N	0.16589234843653314	0.16589234843653314	clinical_only	ridge_logreg	1	2
clinical_t_stage_T4	-0.046734367156530406	0.046734367156530406	clinical_only	ridge_logreg	1	2
clinical_nodal_status_N0	-0.04340924148704147	0.04340924148704147	clinical_only	ridge_logreg	1	2
age_years	-0.042656383083873955	0.042656383083873955	clinical_only	ridge_logreg	1	2
clinical_ajcc_stage_IIB	0.02495062162891715	0.02495062162891715	clinical_only	ridge_logreg	1	2
clinical_ajcc_stage_IIIA	-0.022378003647722872	0.022378003647722872	clinical_only	ridge_logreg	1	2
clinical_t_stage_T1	0.019017430209307004	0.019017430209307004	clinical_only	ridge_logreg	1	2
clinical_nodal_status_N1	0.017791126719519334	0.017791126719519334	clinical_only	ridge_logreg	1	2
grade_1	-0.014743184750987829	0.014743184750987829	clinical_only	ridge_logreg	1	2
clinical_ajcc_stage_IIIC	-0.014135825410852749	0.014135825410852749	clinical_only	ridge_logreg	1	2
clinical_ajcc_stage_Inflammatory	-0.01255669318495781	0.01255669318495781	clinical_only	ridge_logreg	1	2
clinical_ajcc_stage_I	-0.012348613964109382	0.012348613964109382	clinical_only	ridge_logreg	1	2
clinical_ajcc_stage_IIA	0.008474766180857596	0.008474766180857596	clinical_only	ridge_logreg	1	2
clinical_nodal_status_N2	-0.006858511703460797	0.006858511703460797	clinical_only	ridge_logreg	1	2
grade_Indeterminate	-0.005315573797286907	0.005315573797286907	clinical_only	ridge_logreg	1	2
clinical_nodal_status_N3	0.002766001295149516	0.002766001295149516	clinical_only	ridge_logreg	1	2
clinical_t_stage_T0	-0.0023282599508557466	0.0023282599508557466	clinical_only	ridge_logreg	1	2
clinical_ajcc_stage_IIIB	-0.0017168767779653146	0.0017168767779653146	clinical_only	ridge_logreg	1	2
clinical_t_stage_T2	0.001490641062117085	0.001490641062117085	clinical_only	ridge_logreg	1	2
clinical_t_stage_T3	-0.0011560693398713817	0.0011560693398713817	clinical_only	ridge_logreg	1	2
er_status_ihc_esr1_for indeterminate_P	-0.23496634976431943	0.23496634976431943	clinical_only	ridge_logreg	1	3
er_status_ihc_esr1_for indeterminate_N	0.2048214937166858	0.2048214937166858	clinical_only	ridge_logreg	1	3
grade_3	0.13641626378589644	0.13641626378589644	clinical_only	ridge_logreg	1	3
grade_2	-0.12540189620546843	0.12540189620546843	clinical_only	ridge_logreg	1	3
age_years	-0.06760565197884548	0.06760565197884548	clinical_only	ridge_logreg	1	3
clinical_t_stage_T4	-0.06471784652273997	0.06471784652273997	clinical_only	ridge_logreg	1	3
grade_1	-0.03355701779045747	0.03355701779045747	clinical_only	ridge_logreg	1	3
clinical_ajcc_stage_IIA	-0.03328619812106928	0.03328619812106928	clinical_only	ridge_logreg	1	3
clinical_ajcc_stage_IIIB	-0.02339768533230689	0.02339768533230689	clinical_only	ridge_logreg	1	3
clinical_t_stage_T1	0.021016127226807513	0.021016127226807513	clinical_only	ridge_logreg	1	3
clinical_ajcc_stage_IIB	0.02042435326905854	0.02042435326905854	clinical_only	ridge_logreg	1	3
clinical_t_stage_T3	0.019826115039752405	0.019826115039752405	clinical_only	ridge_logreg	1	3
clinical_nodal_status_N0	-0.01650107683184611	0.01650107683184611	clinical_only	ridge_logreg	1	3
clinical_ajcc_stage_IIIC	-0.01572588874358945	0.01572588874358945	clinical_only	ridge_logreg	1	3
clinical_ajcc_stage_I	0.015601529077886549	0.015601529077886549	clinical_only	ridge_logreg	1	3
clinical_ajcc_stage_IIIA	0.015328935888490271	0.015328935888490271	clinical_only	ridge_logreg	1	3
clinical_nodal_status_N3	-0.012263993082076576	0.012263993082076576	clinical_only	ridge_logreg	1	3
clinical_ajcc_stage_Inflammatory	-0.009089902086103533	0.009089902086103533	clinical_only	ridge_logreg	1	3
grade_Indeterminate	-0.007602205837604354	0.007602205837604354	clinical_only	ridge_logreg	1	3
clinical_nodal_status_N1	-0.006996102800384878	0.006996102800384878	clinical_only	ridge_logreg	1	3
clinical_nodal_status_N2	0.005616316666673932	0.005616316666673932	clinical_only	ridge_logreg	1	3
clinical_t_stage_T0	-0.005011052096806866	0.005011052096806866	clinical_only	ridge_logreg	1	3
clinical_t_stage_T2	-0.001258199694646777	0.001258199694646777	clinical_only	ridge_logreg	1	3
er_status_ihc_esr1_for indeterminate_P	-0.21507504989955029	0.21507504989955029	clinical_only	ridge_logreg	1	4
er_status_ihc_esr1_for indeterminate_N	0.1865981022197518	0.1865981022197518	clinical_only	ridge_logreg	1	4
grade_3	0.16595741815595383	0.16595741815595383	clinical_only	ridge_logreg	1	4
grade_2	-0.1503818830173163	0.1503818830173163	clinical_only	ridge_logreg	1	4
age_years	-0.07230482478806777	0.07230482478806777	clinical_only	ridge_logreg	1	4
clinical_nodal_status_N0	-0.05321923368507819	0.05321923368507819	clinical_only	ridge_logreg	1	4
clinical_ajcc_stage_IIA	-0.04588128918322137	0.04588128918322137	clinical_only	ridge_logreg	1	4
clinical_t_stage_T2	-0.04150692266380646	0.04150692266380646	clinical_only	ridge_logreg	1	4
clinical_t_stage_T4	-0.03490191570663632	0.03490191570663632	clinical_only	ridge_logreg	1	4
clinical_t_stage_T1	0.02571034723870977	0.02571034723870977	clinical_only	ridge_logreg	1	4
clinical_t_stage_T3	0.025098678897668147	0.025098678897668147	clinical_only	ridge_logreg	1	4
grade_1	-0.023056510029461706	0.023056510029461706	clinical_only	ridge_logreg	1	4
grade_Indeterminate	-0.020995972788974287	0.020995972788974287	clinical_only	ridge_logreg	1	4
clinical_ajcc_stage_IIB	0.02089638816419757	0.02089638816419757	clinical_only	ridge_logreg	1	4
clinical_ajcc_stage_I	0.012548215354645462	0.012548215354645462	clinical_only	ridge_logreg	1	4
clinical_nodal_status_N2	0.0122414395961192	0.0122414395961192	clinical_only	ridge_logreg	1	4
clinical_nodal_status_N1	0.011345741854584626	0.011345741854584626	clinical_only	ridge_logreg	1	4
clinical_ajcc_stage_IIIC	-0.009771160148769564	0.009771160148769564	clinical_only	ridge_logreg	1	4
clinical_ajcc_stage_Inflammatory	-0.00658696706141851	0.00658696706141851	clinical_only	ridge_logreg	1	4
clinical_t_stage_T0	-0.002877135445733686	0.002877135445733686	clinical_only	ridge_logreg	1	4
clinical_ajcc_stage_IIIB	0.002262576806650032	0.002262576806650032	clinical_only	ridge_logreg	1	4
clinical_ajcc_stage_IIIA	-0.0019447116118822144	0.0019447116118822144	clinical_only	ridge_logreg	1	4
clinical_nodal_status_N3	0.0011551045545758177	0.0011551045545758177	clinical_only	ridge_logreg	1	4
er_status_ihc_esr1_for indeterminate_P	-0.19301520704185235	0.19301520704185235	clinical_only	ridge_logreg	1	5
er_status_ihc_esr1_for indeterminate_N	0.16672713891882754	0.16672713891882754	clinical_only	ridge_logreg	1	5
grade_3	0.1369283220069537	0.1369283220069537	clinical_only	ridge_logreg	1	5
grade_2	-0.12542764984623847	0.12542764984623847	clinical_only	ridge_logreg	1	5
age_years	-0.08518733489316642	0.08518733489316642	clinical_only	ridge_logreg	1	5
clinical_t_stage_T4	-0.038033676825917365	0.038033676825917365	clinical_only	ridge_logreg	1	5
clinical_ajcc_stage_IIIC	-0.0275045057170675	0.0275045057170675	clinical_only	ridge_logreg	1	5
clinical_nodal_status_N0	-0.02710611912106624	0.02710611912106624	clinical_only	ridge_logreg	1	5
clinical_ajcc_stage_IIB	0.02625846950232137	0.02625846950232137	clinical_only	ridge_logreg	1	5
grade_1	-0.023051529216751767	0.023051529216751767	clinical_only	ridge_logreg	1	5
clinical_nodal_status_N1	0.014877333102284606	0.014877333102284606	clinical_only	ridge_logreg	1	5
grade_Indeterminate	-0.014737211066988044	0.014737211066988044	clinical_only	ridge_logreg	1	5
clinical_ajcc_stage_IIA	-0.01440799902959186	0.01440799902959186	clinical_only	ridge_logreg	1	5
clinical_nodal_status_N3	-0.013597465998148345	0.013597465998148345	clinical_only	ridge_logreg	1	5
clinical_ajcc_stage_Inflammatory	-0.012691679845611228	0.012691679845611228	clinical_only	ridge_logreg	1	5
clinical_ajcc_stage_IIIA	-0.012138557340994498	0.012138557340994498	clinical_only	ridge_logreg	1	5
clinical_t_stage_T2	0.009095686849997097	0.009095686849997097	clinical_only	ridge_logreg	1	5
clinical_ajcc_stage_I	0.008930012703815082	0.008930012703815082	clinical_only	ridge_logreg	1	5
