feature	gain	feature_set	model	repeat	fold
er_status_ihc_esr1_for indeterminate_N	0.16960484	clinical_only	xgboost	1	1
grade_3	0.08345564	clinical_only	xgboost	1	1
clinical_t_stage_T3	0.07314475	clinical_only	xgboost	1	1
grade_2	0.070697844	clinical_only	xgboost	1	1
clinical_t_stage_T4	0.06848958	clinical_only	xgboost	1	1
age_years	0.052955944	clinical_only	xgboost	1	1
clinical_nodal_status_N3	0.048534956	clinical_only	xgboost	1	1
grade_Indeterminate	0.048151635	clinical_only	xgboost	1	1
clinical_ajcc_stage_IIB	0.046982683	clinical_only	xgboost	1	1
clinical_t_stage_T2	0.04406531	clinical_only	xgboost	1	1
clinical_nodal_status_N0	0.04151232	clinical_only	xgboost	1	1
clinical_ajcc_stage_IIA	0.03294489	clinical_only	xgboost	1	1
clinical_nodal_status_N1	0.030851027	clinical_only	xgboost	1	1
er_status_ihc_esr1_for indeterminate_P	0.029775148	clinical_only	xgboost	1	1
clinical_nodal_status_N2	0.028906096	clinical_only	xgboost	1	1
clinical_ajcc_stage_IIIA	0.028319193	clinical_only	xgboost	1	1
clinical_ajcc_stage_IIIC	0.026695121	clinical_only	xgboost	1	1
grade_1	0.026320716	clinical_only	xgboost	1	1
clinical_t_stage_T1	0.024761556	clinical_only	xgboost	1	1
clinical_ajcc_stage_IIIB	0.023830848	clinical_only	xgboost	1	1
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	1	1
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	1	1
clinical_t_stage_T0	0.0	clinical_only	xgboost	1	1
grade_3	0.17428343	clinical_only	xgboost	1	2
grade_2	0.16625625	clinical_only	xgboost	1	2
er_status_ihc_esr1_for indeterminate_N	0.07222997	clinical_only	xgboost	1	2
clinical_nodal_status_N2	0.051291883	clinical_only	xgboost	1	2
er_status_ihc_esr1_for indeterminate_P	0.050845526	clinical_only	xgboost	1	2
grade_Indeterminate	0.046691347	clinical_only	xgboost	1	2
clinical_ajcc_stage_IIB	0.042826634	clinical_only	xgboost	1	2
age_years	0.041808765	clinical_only	xgboost	1	2
clinical_t_stage_T4	0.039953176	clinical_only	xgboost	1	2
clinical_ajcc_stage_IIIA	0.03956128	clinical_only	xgboost	1	2
clinical_nodal_status_N3	0.034550402	clinical_only	xgboost	1	2
clinical_nodal_status_N1	0.03432279	clinical_only	xgboost	1	2
clinical_t_stage_T3	0.028494079	clinical_only	xgboost	1	2
clinical_ajcc_stage_IIA	0.026929788	clinical_only	xgboost	1	2
clinical_ajcc_stage_IIIC	0.02692884	clinical_only	xgboost	1	2
clinical_ajcc_stage_IIIB	0.026454542	clinical_only	xgboost	1	2
grade_1	0.025516147	clinical_only	xgboost	1	2
clinical_t_stage_T2	0.024687236	clinical_only	xgboost	1	2
clinical_nodal_status_N0	0.023715276	clinical_only	xgboost	1	2
clinical_t_stage_T1	0.022652619	clinical_only	xgboost	1	2
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	1	2
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	1	2
clinical_t_stage_T0	0.0	clinical_only	xgboost	1	2
er_status_ihc_esr1_for indeterminate_N	0.20907456	clinical_only	xgboost	1	3
er_status_ihc_esr1_for indeterminate_P	0.12820348	clinical_only	xgboost	1	3
grade_3	0.07166724	clinical_only	xgboost	1	3
age_years	0.05005199	clinical_only	xgboost	1	3
clinical_ajcc_stage_IIIA	0.049523965	clinical_only	xgboost	1	3
clinical_t_stage_T3	0.048782703	clinical_only	xgboost	1	3
clinical_t_stage_T4	0.047355354	clinical_only	xgboost	1	3
clinical_nodal_status_N0	0.042051397	clinical_only	xgboost	1	3
clinical_t_stage_T2	0.041990113	clinical_only	xgboost	1	3
clinical_ajcc_stage_IIIC	0.04166052	clinical_only	xgboost	1	3
grade_Indeterminate	0.04099309	clinical_only	xgboost	1	3
clinical_ajcc_stage_IIB	0.03736957	clinical_only	xgboost	1	3
clinical_nodal_status_N3	0.032985874	clinical_only	xgboost	1	3
clinical_ajcc_stage_IIA	0.028061962	clinical_only	xgboost	1	3
clinical_nodal_status_N1	0.025697796	clinical_only	xgboost	1	3
grade_2	0.025347298	clinical_only	xgboost	1	3
clinical_nodal_status_N2	0.022551084	clinical_only	xgboost	1	3
grade_1	0.02245515	clinical_only	xgboost	1	3
clinical_ajcc_stage_IIIB	0.017294403	clinical_only	xgboost	1	3
clinical_t_stage_T1	0.016882533	clinical_only	xgboost	1	3
clinical_t_stage_T0	0.0	clinical_only	xgboost	1	3
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	1	3
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	1	3
grade_3	0.17271909	clinical_only	xgboost	1	4
er_status_ihc_esr1_for indeterminate_N	0.14630023	clinical_only	xgboost	1	4
er_status_ihc_esr1_for indeterminate_P	0.07649683	clinical_only	xgboost	1	4
grade_2	0.07381178	clinical_only	xgboost	1	4
age_years	0.052567646	clinical_only	xgboost	1	4
clinical_t_stage_T3	0.052485283	clinical_only	xgboost	1	4
clinical_t_stage_T2	0.048931994	clinical_only	xgboost	1	4
clinical_ajcc_stage_IIIA	0.042208754	clinical_only	xgboost	1	4
clinical_nodal_status_N2	0.04076901	clinical_only	xgboost	1	4
clinical_nodal_status_N0	0.0386818	clinical_only	xgboost	1	4
clinical_ajcc_stage_IIB	0.03837554	clinical_only	xgboost	1	4
clinical_t_stage_T4	0.03599417	clinical_only	xgboost	1	4
clinical_nodal_status_N3	0.03598511	clinical_only	xgboost	1	4
grade_Indeterminate	0.028692516	clinical_only	xgboost	1	4
clinical_ajcc_stage_IIIB	0.027643716	clinical_only	xgboost	1	4
clinical_ajcc_stage_IIA	0.023911957	clinical_only	xgboost	1	4
clinical_nodal_status_N1	0.02227858	clinical_only	xgboost	1	4
clinical_t_stage_T1	0.021766566	clinical_only	xgboost	1	4
clinical_ajcc_stage_IIIC	0.01156942	clinical_only	xgboost	1	4
grade_1	0.008809955	clinical_only	xgboost	1	4
clinical_t_stage_T0	0.0	clinical_only	xgboost	1	4
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	1	4
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	1	4
er_status_ihc_esr1_for indeterminate_N	0.14687741	clinical_only	xgboost	1	5
grade_3	0.090873346	clinical_only	xgboost	1	5
er_status_ihc_esr1_for indeterminate_P	0.08064458	clinical_only	xgboost	1	5
clinical_ajcc_stage_IIIA	0.05959449	clinical_only	xgboost	1	5
clinical_nodal_status_N3	0.05674218	clinical_only	xgboost	1	5
grade_2	0.053871408	clinical_only	xgboost	1	5
clinical_ajcc_stage_IIB	0.05352722	clinical_only	xgboost	1	5
clinical_t_stage_T3	0.052835625	clinical_only	xgboost	1	5
clinical_t_stage_T2	0.05279905	clinical_only	xgboost	1	5
clinical_nodal_status_N0	0.05140579	clinical_only	xgboost	1	5
age_years	0.047746904	clinical_only	xgboost	1	5
grade_Indeterminate	0.047225874	clinical_only	xgboost	1	5
clinical_ajcc_stage_IIIC	0.030545313	clinical_only	xgboost	1	5
clinical_t_stage_T4	0.029433705	clinical_only	xgboost	1	5
clinical_ajcc_stage_IIA	0.028140083	clinical_only	xgboost	1	5
clinical_nodal_status_N1	0.027485562	clinical_only	xgboost	1	5
clinical_ajcc_stage_IIIB	0.025138455	clinical_only	xgboost	1	5
clinical_nodal_status_N2	0.022084944	clinical_only	xgboost	1	5
grade_1	0.021592187	clinical_only	xgboost	1	5
clinical_t_stage_T1	0.02143592	clinical_only	xgboost	1	5
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	1	5
clinical_t_stage_T0	0.0	clinical_only	xgboost	1	5
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	1	5
er_status_ihc_esr1_for indeterminate_N	0.2196859	clinical_only	xgboost	2	1
er_status_ihc_esr1_for indeterminate_P	0.099902414	clinical_only	xgboost	2	1
grade_3	0.08536351	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIIA	0.06406525	clinical_only	xgboost	2	1
age_years	0.05495376	clinical_only	xgboost	2	1
clinical_t_stage_T4	0.051762674	clinical_only	xgboost	2	1
clinical_nodal_status_N2	0.051434256	clinical_only	xgboost	2	1
grade_Indeterminate	0.04636302	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIB	0.04401964	clinical_only	xgboost	2	1
clinical_t_stage_T2	0.043614585	clinical_only	xgboost	2	1
grade_2	0.040773824	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIIC	0.034166288	clinical_only	xgboost	2	1
clinical_nodal_status_N0	0.03252988	clinical_only	xgboost	2	1
clinical_nodal_status_N3	0.025741566	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIA	0.02546327	clinical_only	xgboost	2	1
clinical_t_stage_T3	0.022410966	clinical_only	xgboost	2	1
