feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
HALLMARK_MITOTIC_SPINDLE	0.14259810761904854	0.14259810761904854	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_G2M_CHECKPOINT	0.10692318044792821	0.10692318044792821	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.10503906715412709	0.10503906715412709	clinical_plus_bi	elastic_net_logreg	1	1
HYPOXIA	0.08672696889425915	0.08672696889425915	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_E2F_TARGETS	0.08508415576625038	0.08508415576625038	clinical_plus_bi	elastic_net_logreg	1	1
age_years	-0.07195987974626399	0.07195987974626399	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_MYC_TARGETS_V1	0.061616835074510365	0.061616835074510365	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.05937668550967617	0.05937668550967617	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.05599584918313803	0.05599584918313803	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_XENOBIOTIC_METABOLISM	-0.05120071285401779	0.05120071285401779	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_UV_RESPONSE_UP	0.050375344774186565	0.050375344774186565	clinical_plus_bi	elastic_net_logreg	1	1
TREG_MYELOID_SUPPRESSION	0.04970964896960349	0.04970964896960349	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_GLYCOLYSIS	0.03542867535926443	0.03542867535926443	clinical_plus_bi	elastic_net_logreg	1	1
er_status_ihc_esr1_for indeterminate_P	-0.029653068538838714	0.029653068538838714	clinical_plus_bi	elastic_net_logreg	1	1
er_status_ihc_esr1_for indeterminate_N	0.028178601693482172	0.028178601693482172	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_MYC_TARGETS_V2	0.02659137666354502	0.02659137666354502	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_SPERMATOGENESIS	0.02077762229237015	0.02077762229237015	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_NOTCH_SIGNALING	0.019115203945698135	0.019115203945698135	clinical_plus_bi	elastic_net_logreg	1	1
grade_3	0.019031035761960066	0.019031035761960066	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_HYPOXIA	0.015125883447575107	0.015125883447575107	clinical_plus_bi	elastic_net_logreg	1	1
