feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
HALLMARK_MITOTIC_SPINDLE	0.17731290865846672	0.17731290865846672	clinical_plus_bi	linear_svm	1	1
age_years	-0.1567301050066724	0.1567301050066724	clinical_plus_bi	linear_svm	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.1496031220797984	0.1496031220797984	clinical_plus_bi	linear_svm	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.13031291625846816	0.13031291625846816	clinical_plus_bi	linear_svm	1	1
clinical_t_stage_T4	-0.12646305973338678	0.12646305973338678	clinical_plus_bi	linear_svm	1	1
TREG_MYELOID_SUPPRESSION	0.1248713920309398	0.1248713920309398	clinical_plus_bi	linear_svm	1	1
HALLMARK_G2M_CHECKPOINT	0.11595803072206545	0.11595803072206545	clinical_plus_bi	linear_svm	1	1
HALLMARK_UV_RESPONSE_UP	0.10424063881888233	0.10424063881888233	clinical_plus_bi	linear_svm	1	1
HALLMARK_HYPOXIA	0.09384954691346707	0.09384954691346707	clinical_plus_bi	linear_svm	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.09095757818979472	0.09095757818979472	clinical_plus_bi	linear_svm	1	1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.09060376724818049	0.09060376724818049	clinical_plus_bi	linear_svm	1	1
grade_2	-0.08898990978940197	0.08898990978940197	clinical_plus_bi	linear_svm	1	1
clinical_t_stage_T2	0.08722680071034361	0.08722680071034361	clinical_plus_bi	linear_svm	1	1
HYPOXIA	0.08669051449072941	0.08669051449072941	clinical_plus_bi	linear_svm	1	1
HALLMARK_P53_PATHWAY	0.08481659114145548	0.08481659114145548	clinical_plus_bi	linear_svm	1	1
HALLMARK_E2F_TARGETS	0.08022349554845361	0.08022349554845361	clinical_plus_bi	linear_svm	1	1
HALLMARK_XENOBIOTIC_METABOLISM	-0.07362648638564775	0.07362648638564775	clinical_plus_bi	linear_svm	1	1
HALLMARK_BILE_ACID_METABOLISM	0.07288181794835484	0.07288181794835484	clinical_plus_bi	linear_svm	1	1
grade_3	0.07011801843761042	0.07011801843761042	clinical_plus_bi	linear_svm	1	1
suppression	0.06789921868721839	0.06789921868721839	clinical_plus_bi	linear_svm	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.06651013176354345	0.06651013176354345	clinical_plus_bi	linear_svm	1	1
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.06332021733832603	0.06332021733832603	clinical_plus_bi	linear_svm	1	1
er_status_ihc_esr1_for indeterminate_N	0.06268124904088504	0.06268124904088504	clinical_plus_bi	linear_svm	1	1
er_status_ihc_esr1_for indeterminate_P	-0.06268124904088446	0.06268124904088446	clinical_plus_bi	linear_svm	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.05664070560513519	0.05664070560513519	clinical_plus_bi	linear_svm	1	1
HALLMARK_FATTY_ACID_METABOLISM	-0.05613886692522586	0.05613886692522586	clinical_plus_bi	linear_svm	1	1
HALLMARK_NOTCH_SIGNALING	0.05531444432759509	0.05531444432759509	clinical_plus_bi	linear_svm	1	1
HALLMARK_HEDGEHOG_SIGNALING	-0.05266653668682629	0.05266653668682629	clinical_plus_bi	linear_svm	1	1
HALLMARK_GLYCOLYSIS	0.05178987058525368	0.05178987058525368	clinical_plus_bi	linear_svm	1	1
