feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
HALLMARK_MITOTIC_SPINDLE	0.13414422977487953	0.13414422977487953	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.11758591685797319	0.11758591685797319	clinical_plus_bi	ridge_logreg	1	1
age_years	-0.11664236031820947	0.11664236031820947	clinical_plus_bi	ridge_logreg	1	1
er_status_ihc_esr1_for indeterminate_P	-0.11261871074173362	0.11261871074173362	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_G2M_CHECKPOINT	0.09303525467591485	0.09303525467591485	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.08872080516637719	0.08872080516637719	clinical_plus_bi	ridge_logreg	1	1
HYPOXIA	0.08740509024809824	0.08740509024809824	clinical_plus_bi	ridge_logreg	1	1
grade_2	-0.0873456498607597	0.0873456498607597	clinical_plus_bi	ridge_logreg	1	1
clinical_t_stage_T4	-0.07927947270846986	0.07927947270846986	clinical_plus_bi	ridge_logreg	1	1
TREG_MYELOID_SUPPRESSION	0.07604360040964844	0.07604360040964844	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_E2F_TARGETS	0.07403521610746495	0.07403521610746495	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_HYPOXIA	0.07042647034842867	0.07042647034842867	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_XENOBIOTIC_METABOLISM	-0.06637134956058063	0.06637134956058063	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_UV_RESPONSE_UP	0.06563570032575759	0.06563570032575759	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_GLYCOLYSIS	0.06400322193687823	0.06400322193687823	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_NOTCH_SIGNALING	0.06381306954042025	0.06381306954042025	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_MYC_TARGETS_V1	0.061036112020229245	0.061036112020229245	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.05509650059510542	0.05509650059510542	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_P53_PATHWAY	0.05196196044419298	0.05196196044419298	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.05183229733018124	0.05183229733018124	clinical_plus_bi	ridge_logreg	1	1
HALLMARK_PEROXISOME	-0.05093052273851716	0.05093052273851716	clinical_plus_bi	ridge_logreg	1	1
