feature	gain	feature_set	model	repeat	fold
er_status_ihc_esr1_for indeterminate_P	0.07714505	clinical_plus_bi	xgboost	1	1
HALLMARK_G2M_CHECKPOINT	0.04837926	clinical_plus_bi	xgboost	1	1
er_status_ihc_esr1_for indeterminate_N	0.045546714	clinical_plus_bi	xgboost	1	1
HALLMARK_MITOTIC_SPINDLE	0.035009354	clinical_plus_bi	xgboost	1	1
HALLMARK_MTORC1_SIGNALING	0.026846088	clinical_plus_bi	xgboost	1	1
HALLMARK_COMPLEMENT	0.021988975	clinical_plus_bi	xgboost	1	1
HALLMARK_UV_RESPONSE_DN	0.020884406	clinical_plus_bi	xgboost	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.020737274	clinical_plus_bi	xgboost	1	1
HALLMARK_MYC_TARGETS_V1	0.020552417	clinical_plus_bi	xgboost	1	1
HALLMARK_KRAS_SIGNALING_UP	0.019951258	clinical_plus_bi	xgboost	1	1
HALLMARK_UV_RESPONSE_UP	0.019521417	clinical_plus_bi	xgboost	1	1
HALLMARK_ADIPOGENESIS	0.018991407	clinical_plus_bi	xgboost	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.018915884	clinical_plus_bi	xgboost	1	1
grade_2	0.016958265	clinical_plus_bi	xgboost	1	1
HYPOXIA	0.016500445	clinical_plus_bi	xgboost	1	1
HALLMARK_FATTY_ACID_METABOLISM	0.01601933	clinical_plus_bi	xgboost	1	1
TREG_MYELOID_SUPPRESSION	0.015853997	clinical_plus_bi	xgboost	1	1
HALLMARK_INFLAMMATORY_RESPONSE	0.015103228	clinical_plus_bi	xgboost	1	1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.014869047	clinical_plus_bi	xgboost	1	1
IFNG_RESPONSE	0.014733745	clinical_plus_bi	xgboost	1	1
clinical_t_stage_T4	0.014701188	clinical_plus_bi	xgboost	1	1
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0146459965	clinical_plus_bi	xgboost	1	1
immune_balance_ratio	0.014460334	clinical_plus_bi	xgboost	1	1
HALLMARK_SPERMATOGENESIS	0.014421085	clinical_plus_bi	xgboost	1	1
HALLMARK_GLYCOLYSIS	0.014416234	clinical_plus_bi	xgboost	1	1
HALLMARK_PROTEIN_SECRETION	0.014184542	clinical_plus_bi	xgboost	1	1
HALLMARK_APOPTOSIS	0.0139531875	clinical_plus_bi	xgboost	1	1
grade_3	0.013577696	clinical_plus_bi	xgboost	1	1
HALLMARK_PEROXISOME	0.013143461	clinical_plus_bi	xgboost	1	1
HALLMARK_APICAL_SURFACE	0.012979852	clinical_plus_bi	xgboost	1	1
HALLMARK_BILE_ACID_METABOLISM	0.01297407	clinical_plus_bi	xgboost	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.012933465	clinical_plus_bi	xgboost	1	1
age_years	0.012756779	clinical_plus_bi	xgboost	1	1
EMT	0.012726546	clinical_plus_bi	xgboost	1	1
ANTIGEN_PRESENTATION	0.012392193	clinical_plus_bi	xgboost	1	1
HALLMARK_PANCREAS_BETA_CELLS	0.01223323	clinical_plus_bi	xgboost	1	1
HALLMARK_MYC_TARGETS_V2	0.012208235	clinical_plus_bi	xgboost	1	1
ECM_REMODELING	0.012139761	clinical_plus_bi	xgboost	1	1
HALLMARK_KRAS_SIGNALING_DN	0.012103349	clinical_plus_bi	xgboost	1	1
HALLMARK_COAGULATION	0.012034522	clinical_plus_bi	xgboost	1	1
HALLMARK_NOTCH_SIGNALING	0.011962414	clinical_plus_bi	xgboost	1	1
immune_balance_index	0.01179083	clinical_plus_bi	xgboost	1	1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.011671423	clinical_plus_bi	xgboost	1	1
HALLMARK_ANDROGEN_RESPONSE	0.011571582	clinical_plus_bi	xgboost	1	1
CYTOLYTIC_ACTIVITY	0.011534383	clinical_plus_bi	xgboost	1	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.011484801	clinical_plus_bi	xgboost	1	1
HALLMARK_HYPOXIA	0.011299651	clinical_plus_bi	xgboost	1	1
HALLMARK_P53_PATHWAY	0.011188035	clinical_plus_bi	xgboost	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.011074812	clinical_plus_bi	xgboost	1	1
HALLMARK_TGF_BETA_SIGNALING	0.010608595	clinical_plus_bi	xgboost	1	1
HALLMARK_E2F_TARGETS	0.009977316	clinical_plus_bi	xgboost	1	1
HALLMARK_APICAL_JUNCTION	0.009750686	clinical_plus_bi	xgboost	1	1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.008630557	clinical_plus_bi	xgboost	1	1
HALLMARK_HEDGEHOG_SIGNALING	0.008219608	clinical_plus_bi	xgboost	1	1
HALLMARK_HEME_METABOLISM	0.00805918	clinical_plus_bi	xgboost	1	1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0076213204	clinical_plus_bi	xgboost	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.007612332	clinical_plus_bi	xgboost	1	1
HALLMARK_ANGIOGENESIS	0.0074946187	clinical_plus_bi	xgboost	1	1
HALLMARK_MYOGENESIS	0.0072233095	clinical_plus_bi	xgboost	1	1
CD8_NK	0.0069919536	clinical_plus_bi	xgboost	1	1
clinical_t_stage_T1	0.0069373334	clinical_plus_bi	xgboost	1	1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0065874932	clinical_plus_bi	xgboost	1	1
ANGIOGENESIS	0.005370123	clinical_plus_bi	xgboost	1	1
T_CELL_INFLAMED	0.00536302	clinical_plus_bi	xgboost	1	1
HALLMARK_DNA_REPAIR	0.004769384	clinical_plus_bi	xgboost	1	1
suppression	0.0037307902	clinical_plus_bi	xgboost	1	1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0019811932	clinical_plus_bi	xgboost	1	1
clinical_ajcc_stage_IIA	0.0	clinical_plus_bi	xgboost	1	1
clinical_ajcc_stage_IIB	0.0	clinical_plus_bi	xgboost	1	1
clinical_ajcc_stage_IIIA	0.0	clinical_plus_bi	xgboost	1	1
HALLMARK_XENOBIOTIC_METABOLISM	0.0	clinical_plus_bi	xgboost	1	1
clinical_ajcc_stage_IIIB	0.0	clinical_plus_bi	xgboost	1	1
clinical_ajcc_stage_IIIC	0.0	clinical_plus_bi	xgboost	1	1
clinical_ajcc_stage_Inflammatory	0.0	clinical_plus_bi	xgboost	1	1
clinical_nodal_status_N3	0.0	clinical_plus_bi	xgboost	1	1
HALLMARK_ALLOGRAFT_REJECTION	0.0	clinical_plus_bi	xgboost	1	1
clinical_ajcc_stage_I	0.0	clinical_plus_bi	xgboost	1	1
grade_Indeterminate	0.0	clinical_plus_bi	xgboost	1	1
clinical_nodal_status_N2	0.0	clinical_plus_bi	xgboost	1	1
clinical_nodal_status_N1	0.0	clinical_plus_bi	xgboost	1	1
clinical_nodal_status_N0	0.0	clinical_plus_bi	xgboost	1	1
clinical_t_stage_T3	0.0	clinical_plus_bi	xgboost	1	1
clinical_t_stage_T2	0.0	clinical_plus_bi	xgboost	1	1
clinical_t_stage_T0	0.0	clinical_plus_bi	xgboost	1	1
grade_1	0.0	clinical_plus_bi	xgboost	1	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0	clinical_plus_bi	xgboost	1	1
activation	0.0	clinical_plus_bi	xgboost	1	1
TGF_BETA_SIGNALING	0.0	clinical_plus_bi	xgboost	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.05777519	clinical_plus_bi	xgboost	1	2
HALLMARK_MITOTIC_SPINDLE	0.050090503	clinical_plus_bi	xgboost	1	2
HALLMARK_G2M_CHECKPOINT	0.046607405	clinical_plus_bi	xgboost	1	2
grade_3	0.044530693	clinical_plus_bi	xgboost	1	2
grade_2	0.030313592	clinical_plus_bi	xgboost	1	2
HYPOXIA	0.025825392	clinical_plus_bi	xgboost	1	2
HALLMARK_UV_RESPONSE_UP	0.023005586	clinical_plus_bi	xgboost	1	2
HALLMARK_FATTY_ACID_METABOLISM	0.022720791	clinical_plus_bi	xgboost	1	2
HALLMARK_ESTROGEN_RESPONSE_LATE	0.022220155	clinical_plus_bi	xgboost	1	2
HALLMARK_SPERMATOGENESIS	0.022150356	clinical_plus_bi	xgboost	1	2
clinical_nodal_status_N3	0.021895766	clinical_plus_bi	xgboost	1	2
HALLMARK_HEDGEHOG_SIGNALING	0.021171179	clinical_plus_bi	xgboost	1	2
HALLMARK_MTORC1_SIGNALING	0.020956347	clinical_plus_bi	xgboost	1	2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.018631773	clinical_plus_bi	xgboost	1	2
HALLMARK_XENOBIOTIC_METABOLISM	0.017578265	clinical_plus_bi	xgboost	1	2
HALLMARK_COMPLEMENT	0.017433546	clinical_plus_bi	xgboost	1	2
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.01716688	clinical_plus_bi	xgboost	1	2
HALLMARK_GLYCOLYSIS	0.017111294	clinical_plus_bi	xgboost	1	2
ANTIGEN_PRESENTATION	0.016666496	clinical_plus_bi	xgboost	1	2
HALLMARK_MYC_TARGETS_V1	0.016605172	clinical_plus_bi	xgboost	1	2
clinical_ajcc_stage_IIIB	0.016578307	clinical_plus_bi	xgboost	1	2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.016073875	clinical_plus_bi	xgboost	1	2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.015946608	clinical_plus_bi	xgboost	1	2
HALLMARK_PROTEIN_SECRETION	0.015766865	clinical_plus_bi	xgboost	1	2
HALLMARK_ALLOGRAFT_REJECTION	0.015582429	clinical_plus_bi	xgboost	1	2
immune_balance_index	0.014965035	clinical_plus_bi	xgboost	1	2
immune_balance_ratio	0.014316142	clinical_plus_bi	xgboost	1	2
EMT	0.013997376	clinical_plus_bi	xgboost	1	2
HALLMARK_PANCREAS_BETA_CELLS	0.013736514	clinical_plus_bi	xgboost	1	2
HALLMARK_KRAS_SIGNALING_DN	0.01342381	clinical_plus_bi	xgboost	1	2
HALLMARK_APICAL_SURFACE	0.013357084	clinical_plus_bi	xgboost	1	2
HALLMARK_NOTCH_SIGNALING	0.012795765	clinical_plus_bi	xgboost	1	2
clinical_ajcc_stage_IIB	0.012777778	clinical_plus_bi	xgboost	1	2
HALLMARK_E2F_TARGETS	0.012731586	clinical_plus_bi	xgboost	1	2
HALLMARK_PEROXISOME	0.012576294	clinical_plus_bi	xgboost	1	2
IFNG_RESPONSE	0.012366539	clinical_plus_bi	xgboost	1	2
TREG_MYELOID_SUPPRESSION	0.012260883	clinical_plus_bi	xgboost	1	2
CD8_NK	0.012129042	clinical_plus_bi	xgboost	1	2
HALLMARK_MYC_TARGETS_V2	0.011785237	clinical_plus_bi	xgboost	1	2
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0117474785	clinical_plus_bi	xgboost	1	2
activation	0.011252136	clinical_plus_bi	xgboost	1	2
age_years	0.0110184485	clinical_plus_bi	xgboost	1	2
HALLMARK_BILE_ACID_METABOLISM	0.0109620765	clinical_plus_bi	xgboost	1	2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.010781834	clinical_plus_bi	xgboost	1	2
HALLMARK_APOPTOSIS	0.010680324	clinical_plus_bi	xgboost	1	2
