feature	gain	feature_set	model	repeat	fold
HALLMARK_ESTROGEN_RESPONSE_LATE	0.21354751	gene_pathway	pasnet	1	1
HALLMARK_APICAL_JUNCTION	0.19572851	gene_pathway	pasnet	1	1
HALLMARK_UV_RESPONSE_DN	0.18075252	gene_pathway	pasnet	1	1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.18002212	gene_pathway	pasnet	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.17049119	gene_pathway	pasnet	1	1
HALLMARK_DNA_REPAIR	0.16773605	gene_pathway	pasnet	1	1
HALLMARK_APOPTOSIS	0.16020298	gene_pathway	pasnet	1	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.15280665	gene_pathway	pasnet	1	1
HALLMARK_ANDROGEN_RESPONSE	0.1527159	gene_pathway	pasnet	1	1
HALLMARK_G2M_CHECKPOINT	0.13973741	gene_pathway	pasnet	1	1
HALLMARK_MITOTIC_SPINDLE	0.1381219	gene_pathway	pasnet	1	1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.13560182	gene_pathway	pasnet	1	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.12800391	gene_pathway	pasnet	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.12496038	gene_pathway	pasnet	1	1
HALLMARK_HEME_METABOLISM	0.12341725	gene_pathway	pasnet	1	1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.12247953	gene_pathway	pasnet	1	1
HALLMARK_PANCREAS_BETA_CELLS	0.11819231	gene_pathway	pasnet	1	1
HALLMARK_TGF_BETA_SIGNALING	0.11754143	gene_pathway	pasnet	1	1
HALLMARK_ANGIOGENESIS	0.117294066	gene_pathway	pasnet	1	1
HALLMARK_INFLAMMATORY_RESPONSE	0.110111274	gene_pathway	pasnet	1	1
HALLMARK_HYPOXIA	0.10755629	gene_pathway	pasnet	1	1
HALLMARK_UV_RESPONSE_UP	0.10605984	gene_pathway	pasnet	1	1
HALLMARK_KRAS_SIGNALING_UP	0.10280313	gene_pathway	pasnet	1	1
HALLMARK_PEROXISOME	0.09989144	gene_pathway	pasnet	1	1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.09952784	gene_pathway	pasnet	1	1
HALLMARK_SPERMATOGENESIS	0.09707203	gene_pathway	pasnet	1	1
HALLMARK_ALLOGRAFT_REJECTION	0.095124274	gene_pathway	pasnet	1	1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.09298855	gene_pathway	pasnet	1	1
HALLMARK_MYC_TARGETS_V1	0.08735918	gene_pathway	pasnet	1	1
HALLMARK_PROTEIN_SECRETION	0.085844114	gene_pathway	pasnet	1	1
HALLMARK_MYOGENESIS	0.08519834	gene_pathway	pasnet	1	1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.07754815	gene_pathway	pasnet	1	1
HALLMARK_FATTY_ACID_METABOLISM	0.0775211	gene_pathway	pasnet	1	1
ANGIOGENESIS	0.0742765	gene_pathway	pasnet	1	1
HALLMARK_GLYCOLYSIS	0.07418277	gene_pathway	pasnet	1	1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.06617894	gene_pathway	pasnet	1	1
EMT	0.06588826	gene_pathway	pasnet	1	1
HALLMARK_KRAS_SIGNALING_DN	0.065236956	gene_pathway	pasnet	1	1
HALLMARK_COMPLEMENT	0.06427866	gene_pathway	pasnet	1	1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.06286674	gene_pathway	pasnet	1	1
HALLMARK_XENOBIOTIC_METABOLISM	0.05726012	gene_pathway	pasnet	1	1
