ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007059	chromosome segregation	56/430	337/11986	0.166172106824926	4.63195086605479	13.0454802859737	1.70713696829805e-22	3.93099721839028e-19	3.64347267160316e-19	TTK/TPX2/CDC20/KIF18B/KIF2C/GPSM2/CDCA8/PRC1/CDT1/CCNE1/SMC4/HJURP/KIF4A/KIF14/KIF15/BUB1/KIFC1/CCNB2/PLK1/AURKB/CENPE/KIF18A/CDK5RAP2/MAD2L1/TOP2A/NUSAP1/SMC2/NCAPH/CENPN/DLGAP5/ECT2/TRIP13/NDC80/PLSCR1/CENPF/MYBL2/CDK1/SKA1/CCNE2/FIRRM/RACGAP1/CEP192/KIF23/AURKA/NEK2/TUBGCP3/KIF11/KNTC1/CENPI/SPDL1/ASPM/SAC3D1/MSH5/BRIP1/TACC3/CENPM	56
GO:0000280	nuclear division	56/430	338/11986	0.165680473372781	4.61824686940966	13.0160840563563	1.98184886230919e-22	3.93099721839028e-19	3.64347267160316e-19	NFIB/TTK/TPX2/RANBP1/CDC20/KIF18B/KIF2C/CDCA8/PRC1/CDT1/CCNE1/SMC4/KIF4A/KIF14/KIF15/SPHK1/BUB1/KIFC1/CCNB2/PLK1/CHEK1/AURKB/CENPE/RAD51AP1/KIF18A/CDK5RAP2/MAD2L1/TOP2A/NUSAP1/SMC2/NCAPH/DLGAP5/TRIP13/NDC80/CENPF/MYBL2/CDK1/SKA1/CCNE2/UBE2S/FANCA/RACGAP1/CKS2/CEP192/KIF23/AURKA/NEK2/KIF11/KNTC1/CENPI/SPDL1/ASPM/MSH5/RGCC/BRIP1/DMRT1	56
GO:0098813	nuclear chromosome segregation	48/430	249/11986	0.192771084337349	5.37338189969179	13.4520355024022	3.20482079161367e-22	4.23784136011047e-19	3.92787334214265e-19	TTK/TPX2/CDC20/KIF18B/KIF2C/CDCA8/PRC1/CDT1/CCNE1/SMC4/KIF4A/KIF14/KIF15/BUB1/KIFC1/CCNB2/PLK1/AURKB/CENPE/KIF18A/CDK5RAP2/MAD2L1/TOP2A/NUSAP1/SMC2/NCAPH/DLGAP5/ECT2/TRIP13/NDC80/CENPF/MYBL2/CDK1/SKA1/CCNE2/RACGAP1/CEP192/KIF23/AURKA/NEK2/KIF11/KNTC1/CENPI/SPDL1/ASPM/MSH5/BRIP1/TACC3	48
GO:0140014	mitotic nuclear division	46/430	234/11986	0.196581196581197	5.47958656330749	13.3487146982859	1.0721773603442e-21	1.06333189712136e-18	9.85556715705865e-19	NFIB/TTK/TPX2/RANBP1/CDC20/KIF18B/KIF2C/CDCA8/PRC1/CDT1/SMC4/KIF4A/KIF14/KIF15/SPHK1/BUB1/KIFC1/PLK1/CHEK1/AURKB/CENPE/KIF18A/CDK5RAP2/MAD2L1/NUSAP1/SMC2/NCAPH/DLGAP5/TRIP13/NDC80/CENPF/MYBL2/CDK1/SKA1/UBE2S/RACGAP1/CEP192/KIF23/AURKA/NEK2/KIF11/KNTC1/CENPI/SPDL1/RGCC/DMRT1	46
GO:0000070	mitotic sister chromatid segregation	38/430	161/11986	0.236024844720497	6.57905532283692	13.7474614860966	5.14702927003583e-21	4.08365302284643e-18	3.78496278741793e-18	TTK/TPX2/CDC20/KIF18B/KIF2C/CDCA8/PRC1/CDT1/SMC4/KIF4A/KIF14/KIF15/BUB1/KIFC1/PLK1/AURKB/CENPE/KIF18A/CDK5RAP2/MAD2L1/NUSAP1/SMC2/NCAPH/DLGAP5/TRIP13/NDC80/CENPF/MYBL2/CDK1/SKA1/RACGAP1/CEP192/KIF23/NEK2/KIF11/KNTC1/CENPI/SPDL1	38
GO:0048285	organelle fission	56/430	374/11986	0.149732620320856	4.17370973759483	12.0281537895836	2.96289835436328e-20	1.95896962862652e-17	1.81568490382297e-17	NFIB/TTK/TPX2/RANBP1/CDC20/KIF18B/KIF2C/CDCA8/PRC1/CDT1/CCNE1/SMC4/KIF4A/KIF14/KIF15/SPHK1/BUB1/KIFC1/CCNB2/PLK1/CHEK1/AURKB/CENPE/RAD51AP1/KIF18A/CDK5RAP2/MAD2L1/TOP2A/NUSAP1/SMC2/NCAPH/DLGAP5/TRIP13/NDC80/CENPF/MYBL2/CDK1/SKA1/CCNE2/UBE2S/FANCA/RACGAP1/CKS2/CEP192/KIF23/AURKA/NEK2/KIF11/KNTC1/CENPI/SPDL1/ASPM/MSH5/RGCC/BRIP1/DMRT1	56
GO:0000819	sister chromatid segregation	40/430	195/11986	0.205128205128205	5.71782945736434	12.8124948581025	1.09502746112456e-19	6.20567705468732e-17	5.75177582211742e-17	TTK/TPX2/CDC20/KIF18B/KIF2C/CDCA8/PRC1/CDT1/SMC4/KIF4A/KIF14/KIF15/BUB1/KIFC1/PLK1/AURKB/CENPE/KIF18A/CDK5RAP2/MAD2L1/TOP2A/NUSAP1/SMC2/NCAPH/DLGAP5/TRIP13/NDC80/CENPF/MYBL2/CDK1/SKA1/RACGAP1/CEP192/KIF23/NEK2/KIF11/KNTC1/CENPI/SPDL1/TACC3	40
GO:1902850	microtubule cytoskeleton organization involved in mitosis	30/430	143/11986	0.20979020979021	5.84778012684989	11.249404896025	2.53774420029234e-15	1.25840390531996e-12	1.16636059100278e-12	TTK/TPX2/CDC20/STMN1/GPSM2/CDCA8/PRC1/KIF4A/KIF15/KIFC1/PLK1/AURKB/CENPE/CDK5RAP2/MAD2L1/PAX6/NUSAP1/DLGAP5/NDC80/MYBL2/CDK1/RACGAP1/CEP192/KIF23/AURKA/NEK2/SPRY2/KIF11/SPDL1/TACC3	30
GO:0044772	mitotic cell cycle phase transition	46/430	355/11986	0.129577464788732	3.61189649525057	9.63631729753065	2.41985016871935e-14	1.06661617992329e-11	9.88600776530605e-12	CDKN2A/MELK/TFDP1/NFIB/TTK/DONSON/CDC20/CKS1B/SKP2/CDCA8/CCNE1/EZH2/CCNA2/KIF14/RRM2/BUB1/CCNB2/PLK1/CHEK1/AURKB/CENPE/FOXM1/CDK5RAP2/MAD2L1/DLGAP5/TRIP13/NDC80/CENPF/RBL1/CDK1/ID4/SKA1/CCNE2/UBE2S/MYC/CKS2/RFWD3/AURKA/BARD1/NES/CCL2/KNTC1/SPDL1/TPD52L1/RGCC/TACC3	46
GO:0044770	cell cycle phase transition	51/430	438/11986	0.116438356164384	3.24565148136349	9.23582092982944	6.58414502551884e-14	2.61193033162332e-11	2.42088616569866e-11	CDKN2A/MELK/TFDP1/NFIB/TTK/MSH2/DONSON/CDC20/CKS1B/SKP2/CDCA8/CDT1/CCNE1/EZH2/CCNA2/KIF14/RRM2/BUB1/CCNB2/PLK1/CHEK1/SIX3/AURKB/CENPE/FOXM1/CDK5RAP2/MAD2L1/DLGAP5/TRIP13/NDC80/CENPF/CDC45/RBL1/CDK1/ID4/SKA1/CCNE2/UBE2S/MYC/CKS2/RFWD3/AURKA/BARD1/NES/CCL2/KNTC1/SPDL1/TPD52L1/RGCC/BRIP1/TACC3	51
