feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_only	ridge_logreg	1	1	0.7140151515151515	0.301323879647621	0.6515151515151515	0.5239042113846383	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	2	0.7518939393939393	0.33553375295470156	0.6827651515151515	0.5217695354398582	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	3	0.7481060606060606	0.42077818191994765	0.6164772727272727	0.49635133746461296	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	4	0.7216312056737588	0.44648056231427374	0.6320921985815603	0.5147251962633907	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	1	5	0.8770833333333333	0.49494172494172495	0.8333333333333333	0.5092580762468275	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	1	0.8030303030303031	0.5427719434230898	0.7073863636363636	0.5064021974392003	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	2	0.7746212121212122	0.36703176978818647	0.7320075757575758	0.49758097605254425	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	3	0.7178030303030303	0.38794541905827173	0.7073863636363636	0.5017774507303709	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	4	0.8156028368794326	0.5149101307189542	0.726063829787234	0.502409314764881	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	2	5	0.7270833333333333	0.28225765900765903	0.6729166666666666	0.5174592467557318	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	1	0.7102272727272727	0.31732298224393085	0.665719696969697	0.5072408250860049	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	2	0.8106060606060606	0.4747269173478851	0.7490530303030303	0.5149341374580569	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	3	0.850378787878788	0.5290635963363236	0.7878787878787878	0.5148212549201798	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	4	0.7783687943262412	0.5523311539162988	0.6959219858156028	0.5273176613362965	"{""model__C"": 0.01}"
clinical_only	ridge_logreg	3	5	0.7041666666666666	0.28055030829773664	0.63125	0.4933030855299373	"{""model__C"": 0.01}"
clinical_only	elastic_net_logreg	1	1	0.7670454545454546	0.3338746814682644	0.6827651515151515	0.566694459334773	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	1	2	0.6998106060606062	0.3115718501062469	0.6827651515151515	0.5939819209671994	"{""model__C"": 0.1, ""model__l1_ratio"": 0.7}"
clinical_only	elastic_net_logreg	1	3	0.7698863636363636	0.4983299724047019	0.6164772727272727	0.5020136569971398	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	1	4	0.7588652482269505	0.4877638666437164	0.6835106382978724	0.4891724338772285	"{""model__C"": 0.1, ""model__l1_ratio"": 0.9}"
clinical_only	elastic_net_logreg	1	5	0.8802083333333334	0.48619047619047623	0.8020833333333333	0.44487911076132747	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	2	1	0.8352272727272727	0.6270646336559552	0.6865530303030303	0.4682960056152334	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	2	2	0.7973484848484849	0.3999819624819625	0.7320075757575758	0.48160013722049727	"{""model__C"": 0.1, ""model__l1_ratio"": 0.7}"
clinical_only	elastic_net_logreg	2	3	0.7159090909090908	0.46704507379289256	0.6268939393939394	0.5215851887889917	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	2	4	0.8209219858156028	0.4734938672438673	0.7473404255319149	0.5554099058858971	"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}"
clinical_only	elastic_net_logreg	2	5	0.7270833333333333	0.2761436702272615	0.69375	0.515127301995393	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	3	1	0.6865530303030303	0.28320488347226314	0.6515151515151515	0.5189805990163154	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	3	2	0.8210227272727272	0.5339485076327182	0.7490530303030303	0.5161702066817014	"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}"
clinical_only	elastic_net_logreg	3	3	0.875	0.5852092352092352	0.75	0.4149114351728364	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	3	4	0.7907801418439716	0.5872354497354498	0.7269503546099291	0.5808389507217715	"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}"
clinical_only	elastic_net_logreg	3	5	0.7104166666666667	0.2854956091254513	0.6520833333333333	0.4838015427478819	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	linear_svm	1	1	0.7784090909090909	0.3399521044257886	0.8229166666666667	0.21286898238379384	"{""model__C"": 0.01}"
clinical_only	linear_svm	1	2	0.7443181818181819	0.41119494574505044	0.6827651515151515	0.22668288296104205	"{""model__C"": 0.1}"
clinical_only	linear_svm	1	3	0.6988636363636364	0.31213656158933517	0.6164772727272727	0.15262986335568596	"{""model__C"": 0.1}"
clinical_only	linear_svm	1	4	0.7163120567375887	0.5012761454450879	0.6835106382978724	0.1879149039744113	"{""model__C"": 0.1}"
clinical_only	linear_svm	1	5	0.8708333333333333	0.48866966882446755	0.8333333333333333	0.20187511154122004	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	1	0.7992424242424243	0.49541489359929936	0.6865530303030303	0.18161541925510466	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	2	0.7878787878787878	0.3838260373019731	0.7424242424242424	0.21264633534384503	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	3	0.7083333333333333	0.3822581066899249	0.6723484848484849	0.24041447282593875	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	4	0.8191489361702128	0.5363883053221289	0.7367021276595744	0.17918565729296299	"{""model__C"": 0.01}"
clinical_only	linear_svm	2	5	0.7375	0.2843707949229771	0.7729166666666667	0.22851010281483683	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	1	0.6856060606060607	0.34615440115440116	0.6410984848484849	0.24530535777509796	"{""model__C"": 0.1}"
clinical_only	linear_svm	3	2	0.803030303030303	0.4558647561588738	0.7490530303030303	0.18821457820377402	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	3	0.8598484848484849	0.534616942772023	0.8229166666666667	0.18503388988653904	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	4	0.8067375886524822	0.5856814572476806	0.7056737588652482	0.20101456287367736	"{""model__C"": 0.01}"
clinical_only	linear_svm	3	5	0.7020833333333334	0.286030578898226	0.6625	0.19375634677760467	"{""model__C"": 0.01}"
clinical_only	xgboost	1	1	0.6164772727272727	0.273177421509638	0.603219696969697	0.26751425862312317	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	2	0.6666666666666666	0.3191426459719143	0.6268939393939394	0.5009121298789978	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	3	0.649621212121212	0.2724591798264121	0.5956439393939394	0.3555005192756653	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	4	0.75177304964539	0.5805403674177393	0.6214539007092199	0.2886679768562317	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	5	0.8229166666666666	0.3943868181154708	0.7645833333333334	0.5809450149536133	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	1	0.7594696969696969	0.37024586005200977	0.6448863636363636	0.26243969798088074	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	2	0.7632575757575757	0.44516903722686596	0.6761363636363636	0.4461051821708679	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	3	0.6884469696969697	0.363588135890742	0.6410984848484849	0.42114683985710144	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	4	0.7375886524822695	0.46189054913947314	0.7065602836879432	0.5529391169548035	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	5	0.7395833333333333	0.3227065988919437	0.6854166666666667	0.5589298605918884	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	3	1	0.7035984848484849	0.36416166091355984	0.6098484848484849	0.4344518184661865	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
