feature_set	model	train_source	test_source	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_only	ridge_logreg	MDACC	ISPY	0.6989010989010989	0.27395282848994246	0.65989010989011	0.5564262045034088	"{""model__C"": 0.1}"
clinical_only	ridge_logreg	ISPY	MDACC	0.6776703111858704	0.3255840619167941	0.631062517521727	0.501955175307809	"{""model__C"": 0.01}"
clinical_only	elastic_net_logreg	MDACC	ISPY	0.7021978021978023	0.28147705555950137	0.65989010989011	0.5572300064966037	"{""model__C"": 0.1, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	ISPY	MDACC	0.6904962153069807	0.33612271556469264	0.6525791982057751	0.46149919404331496	"{""model__C"": 0.1, ""model__l1_ratio"": 0.1}"
clinical_only	linear_svm	MDACC	ISPY	0.7087912087912087	0.28529816767480254	0.6445054945054945	0.20336122289148145	"{""model__C"": 0.01}"
clinical_only	linear_svm	ISPY	MDACC	0.6964536024670591	0.3456266461396449	0.6268573030557891	0.21776064053880784	"{""model__C"": 0.1}"
clinical_only	xgboost	MDACC	ISPY	0.6873626373626374	0.3848731041027479	0.6445054945054945	0.49898454546928406	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	ISPY	MDACC	0.7368937482478273	0.35363138252644116	0.6697504906083543	0.29992228746414185	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	ridge_logreg	MDACC	ISPY	0.6703296703296703	0.25820432184651554	0.7082417582417582	0.5292594789720213	"{""model__C"": 0.01}"
bi_only	ridge_logreg	ISPY	MDACC	0.7416596579758901	0.3354946220929117	0.6955424726661059	0.47670017308144524	"{""model__C"": 0.01}"
bi_only	elastic_net_logreg	MDACC	ISPY	0.7	0.2805935215436675	0.6928571428571428	0.48441319875426897	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
bi_only	elastic_net_logreg	ISPY	MDACC	0.6890944771516682	0.28574794788953467	0.6898654331370899	0.516702701347222	"{""model__C"": 0.1, ""model__l1_ratio"": 0.9}"
bi_only	linear_svm	MDACC	ISPY	0.6692307692307692	0.2557430314287968	0.7285714285714285	0.15031052614613852	"{""model__C"": 0.01}"
bi_only	linear_svm	ISPY	MDACC	0.7520325203252033	0.36019010762021025	0.7358424446313429	0.17076226821849091	"{""model__C"": 0.01}"
bi_only	xgboost	MDACC	ISPY	0.7417582417582417	0.41374069950759707	0.6648351648351649	0.2080247551202774	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	ISPY	MDACC	0.5862068965517242	0.24495505026595732	0.5396691897953463	0.09181398153305054	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	ridge_logreg	MDACC	ISPY	0.667032967032967	0.2525109034151423	0.7362637362637363	0.5022653702867556	"{""model__C"": 0.01}"
clinical_plus_bi	ridge_logreg	ISPY	MDACC	0.749649565461172	0.34197574185851615	0.7048640313989347	0.45801127046690765	"{""model__C"": 0.01}"
clinical_plus_bi	elastic_net_logreg	MDACC	ISPY	0.7021978021978021	0.2810954319700294	0.7285714285714285	0.47821706008721077	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_plus_bi	elastic_net_logreg	ISPY	MDACC	0.6871320437342304	0.30250602405233534	0.6203392206335856	0.5111884434890911	"{""model__C"": 0.1, ""model__l1_ratio"": 0.7}"
clinical_plus_bi	linear_svm	MDACC	ISPY	0.6802197802197801	0.26532430941030566	0.7362637362637363	0.15101056560388118	"{""model__C"": 0.01}"
clinical_plus_bi	linear_svm	ISPY	MDACC	0.7572189514998598	0.35448350287695607	0.6670171012054948	0.18745259343221654	"{""model__C"": 0.01}"
clinical_plus_bi	xgboost	MDACC	ISPY	0.7351648351648352	0.413610189276041	0.7494505494505495	0.2986469864845276	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	ISPY	MDACC	0.6230726100364452	0.2521104160316399	0.6165545276142417	0.08897601068019867	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
gene_pathway	pasnet	MDACC	ISPY	0.7329670329670329	0.362178509777032	0.49230769230769234	0.5733993649482727	"{""dropout"": 0.3, ""hidden_dim"": 16, ""lr"": 0.001, ""weight_decay"": 0.001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	ISPY	MDACC	0.475609756097561	0.1767067494690481	0.5067984300532661	0.4794670045375824	"{""dropout"": 0.1, ""hidden_dim"": 16, ""lr"": 0.0003, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""mean""}"
