feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
bi_only	xgboost	1	1	0.7234848484848485	0.348928228634111	0.7111742424242424	0.14663724601268768	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	1	2	0.7537878787878788	0.4971427857233979	0.7073863636363636	0.24269910156726837	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	1	3	0.7481060606060607	0.345305064612465	0.6931818181818181	0.11759475618600845	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	1	4	0.723404255319149	0.4607583593016534	0.7349290780141844	0.21399898827075958	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	1	5	0.7854166666666667	0.4211405261405261	0.725	0.14239853620529175	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	2	1	0.7310606060606061	0.34434828552475605	0.6619318181818181	0.24236498773097992	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	2	2	0.8200757575757576	0.4547523923865971	0.8399621212121212	0.2629944682121277	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	2	3	0.6988636363636364	0.3191287608495401	0.6515151515151515	0.1966712474822998	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	2	4	0.875886524822695	0.6002109002109003	0.7774822695035462	0.2572292685508728	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	2	5	0.8666666666666667	0.4550757575757575	0.8229166666666667	0.30267637968063354	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	3	1	0.7178030303030303	0.3437915803170676	0.7632575757575758	0.2847979962825775	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	3	2	0.7859848484848485	0.3650660082478264	0.699810606060606	0.18366341292858124	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	3	3	0.8143939393939394	0.5708300537845993	0.7007575757575758	0.22453834116458893	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	3	4	0.7340425531914894	0.5112918913384752	0.6533687943262412	0.09228222072124481	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
bi_only	xgboost	3	5	0.7229166666666667	0.29635909789135595	0.6625	0.11983038485050201	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
