feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_only	xgboost	1	1	0.6164772727272727	0.273177421509638	0.603219696969697	0.26751425862312317	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	2	0.6666666666666666	0.3191426459719143	0.6268939393939394	0.5009121298789978	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	3	0.649621212121212	0.2724591798264121	0.5956439393939394	0.3555005192756653	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	4	0.75177304964539	0.5805403674177393	0.6214539007092199	0.2886679768562317	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	1	5	0.8229166666666666	0.3943868181154708	0.7645833333333334	0.5809450149536133	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	1	0.7594696969696969	0.37024586005200977	0.6448863636363636	0.26243969798088074	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	2	0.7632575757575757	0.44516903722686596	0.6761363636363636	0.4461051821708679	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	3	0.6884469696969697	0.363588135890742	0.6410984848484849	0.42114683985710144	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	4	0.7375886524822695	0.46189054913947314	0.7065602836879432	0.5529391169548035	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	2	5	0.7395833333333333	0.3227065988919437	0.6854166666666667	0.5589298605918884	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	3	1	0.7035984848484849	0.36416166091355984	0.6098484848484849	0.4344518184661865	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	3	2	0.7679924242424242	0.4600020979331324	0.6931818181818181	0.3790532648563385	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	3	3	0.7803030303030303	0.37147412028879756	0.6837121212121212	0.3236027657985687	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	3	4	0.7526595744680852	0.3935842543451239	0.6959219858156028	0.4950275421142578	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_only	xgboost	3	5	0.7104166666666666	0.3391188095791676	0.6895833333333333	0.2135273516178131	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
