feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_plus_bi	xgboost	1	1	0.7159090909090909	0.33306813175531413	0.6903409090909092	0.2536813020706177	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	1	2	0.6893939393939393	0.4208704152484056	0.6865530303030303	0.2333715409040451	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	1	3	0.6761363636363636	0.34948538935293516	0.6202651515151515	0.07183337956666946	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	1	4	0.726950354609929	0.447805602993634	0.725177304964539	0.266742080450058	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	1	5	0.8145833333333333	0.44446192696192693	0.7854166666666667	0.14470238983631134	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	2	1	0.75	0.34543713861895686	0.6619318181818181	0.1479092538356781	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	2	2	0.8276515151515151	0.4707258697302322	0.7462121212121212	0.16104011237621307	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	2	3	0.7310606060606061	0.3621051545534031	0.6723484848484849	0.23633866012096405	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	2	4	0.8794326241134751	0.6633352551351274	0.7987588652482269	0.2873417139053345	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	2	5	0.89375	0.5539785704491587	0.7916666666666667	0.22564537823200226	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	3	1	0.7159090909090909	0.38492953268495067	0.7357954545454546	0.19665351510047913	"{""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	3	2	0.8125	0.38469489757497166	0.7803030303030303	0.16552415490150452	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	3	3	0.8125	0.6047302805419689	0.8087121212121212	0.1886388510465622	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	3	4	0.7588652482269503	0.48640505444602083	0.7570921985815603	0.07720407843589783	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
clinical_plus_bi	xgboost	3	5	0.7000000000000001	0.29724746230780713	0.6125	0.13179776072502136	"{""model__max_depth"": 4, ""model__learning_rate"": 0.05, ""model__n_estimators"": 120, ""model__subsample"": 0.8, ""model__colsample_bytree"": 0.8}"
