feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
gene_pathway	pasnet	1	1	0.634469696969697	0.25795976430073153	0.5359848484848485	0.5449109673500061	"{""dropout"": 0.3, ""hidden_dim"": 16, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	1	2	0.7462121212121213	0.3986089809249248	0.6089015151515151	0.5141674876213074	"{""dropout"": 0.5, ""hidden_dim"": 64, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	1	3	0.7045454545454546	0.4389159202319879	0.6231060606060606	0.46061262488365173	"{""dropout"": 0.5, ""hidden_dim"": 64, ""lr"": 0.001, ""weight_decay"": 0.001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	1	4	0.7358156028368794	0.5061713100881017	0.6843971631205674	0.47426629066467285	"{""dropout"": 0.5, ""hidden_dim"": 32, ""lr"": 0.0003, ""weight_decay"": 0.001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	1	5	0.8333333333333333	0.5228968253968255	0.7958333333333334	0.5152993202209473	"{""dropout"": 0.5, ""hidden_dim"": 64, ""lr"": 0.0003, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""mean""}"
gene_pathway	pasnet	2	1	0.6363636363636364	0.2656076344244856	0.574810606060606	0.4979080855846405	"{""dropout"": 0.5, ""hidden_dim"": 16, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	2	2	0.7689393939393939	0.45424111242293064	0.7178030303030303	0.5039821267127991	"{""dropout"": 0.5, ""hidden_dim"": 64, ""lr"": 0.0003, ""weight_decay"": 0.001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	2	3	0.7859848484848484	0.4596073517126148	0.7348484848484849	0.5579441785812378	"{""dropout"": 0.5, ""hidden_dim"": 16, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	2	4	0.8421985815602837	0.5434642231982049	0.8324468085106382	0.5446322560310364	"{""dropout"": 0.1, ""hidden_dim"": 16, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	2	5	0.85	0.49815314587373405	0.7729166666666667	0.4792175889015198	"{""dropout"": 0.3, ""hidden_dim"": 32, ""lr"": 0.001, ""weight_decay"": 0.001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	3	1	0.6893939393939394	0.3639205277743903	0.6268939393939394	0.5189065933227539	"{""dropout"": 0.5, ""hidden_dim"": 16, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	3	2	0.8143939393939393	0.5950407435701554	0.7660984848484849	0.5649043917655945	"{""dropout"": 0.5, ""hidden_dim"": 32, ""lr"": 0.001, ""weight_decay"": 0.001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	3	3	0.7916666666666666	0.46800297403745683	0.728219696969697	0.4981382191181183	"{""dropout"": 0.5, ""hidden_dim"": 16, ""lr"": 0.0003, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	3	4	0.7375886524822696	0.562459023478456	0.7065602836879432	0.5222844481468201	"{""dropout"": 0.5, ""hidden_dim"": 64, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
gene_pathway	pasnet	3	5	0.7249999999999999	0.3048229627971007	0.5625	0.47056517004966736	"{""dropout"": 0.5, ""hidden_dim"": 16, ""lr"": 0.001, ""weight_decay"": 0.0001, ""top_genes"": 5000, ""min_genes"": 5, ""pathway_mode"": ""trainable""}"
