feature	mean_abs_importance	feature_set	model
er_status_ihc_esr1_for indeterminate_P	0.20523372966467016	clinical_only	ridge_logreg
er_status_ihc_esr1_for indeterminate_N	0.17678964631863767	clinical_only	ridge_logreg
grade_3	0.15060776515868876	clinical_only	ridge_logreg
grade_2	0.1433691384354707	clinical_only	ridge_logreg
age_years	0.08265143542896228	clinical_only	ridge_logreg
clinical_t_stage_T4	0.052700436259153396	clinical_only	ridge_logreg
clinical_nodal_status_N0	0.03864687412026306	clinical_only	ridge_logreg
grade_1	0.023855076839079028	clinical_only	ridge_logreg
clinical_ajcc_stage_IIB	0.022178744083231956	clinical_only	ridge_logreg
clinical_t_stage_T1	0.02133625948383711	clinical_only	ridge_logreg
clinical_ajcc_stage_IIA	0.020977679586571128	clinical_only	ridge_logreg
clinical_nodal_status_N1	0.018979502276913345	clinical_only	ridge_logreg
clinical_ajcc_stage_IIIC	0.01702247010130733	clinical_only	ridge_logreg
clinical_t_stage_T3	0.014661000335677913	clinical_only	ridge_logreg
grade_Indeterminate	0.011990536600805969	clinical_only	ridge_logreg
er_status_ihc_esr1_for indeterminate_P	0.5308180170975374	clinical_only	elastic_net_logreg
grade_3	0.3432701670881813	clinical_only	elastic_net_logreg
er_status_ihc_esr1_for indeterminate_N	0.32242673347493145	clinical_only	elastic_net_logreg
grade_2	0.2366662099709943	clinical_only	elastic_net_logreg
clinical_t_stage_T4	0.09919463076282785	clinical_only	elastic_net_logreg
age_years	0.09645534261981663	clinical_only	elastic_net_logreg
clinical_nodal_status_N1	0.012466969254199958	clinical_only	elastic_net_logreg
clinical_nodal_status_N0	0.010212686708456337	clinical_only	elastic_net_logreg
clinical_t_stage_T1	0.0	clinical_only	elastic_net_logreg
grade_1	0.0	clinical_only	elastic_net_logreg
clinical_t_stage_T3	0.0	clinical_only	elastic_net_logreg
clinical_t_stage_T2	0.0	clinical_only	elastic_net_logreg
clinical_nodal_status_N3	0.0	clinical_only	elastic_net_logreg
clinical_t_stage_T0	0.0	clinical_only	elastic_net_logreg
clinical_ajcc_stage_I	0.0	clinical_only	elastic_net_logreg
er_status_ihc_esr1_for indeterminate_N	0.5518274456309307	clinical_only	linear_svm
er_status_ihc_esr1_for indeterminate_P	0.5518274456309302	clinical_only	linear_svm
grade_3	0.36654724548334483	clinical_only	linear_svm
grade_2	0.23966856148965088	clinical_only	linear_svm
clinical_t_stage_T4	0.11419889503882925	clinical_only	linear_svm
age_years	0.07884571211274763	clinical_only	linear_svm
clinical_ajcc_stage_IIIB	0.07392437516719906	clinical_only	linear_svm
grade_1	0.06575834633322976	clinical_only	linear_svm
grade_Indeterminate	0.06168367130974534	clinical_only	linear_svm
clinical_ajcc_stage_Inflammatory	0.05985055362590465	clinical_only	linear_svm
clinical_t_stage_T1	0.05740235621901068	clinical_only	linear_svm
clinical_nodal_status_N3	0.053126243986448635	clinical_only	linear_svm
clinical_t_stage_T3	0.0486285387062039	clinical_only	linear_svm
clinical_nodal_status_N0	0.048609701159799276	clinical_only	linear_svm
clinical_ajcc_stage_IIB	0.046228336863405814	clinical_only	linear_svm
er_status_ihc_esr1_for indeterminate_N	0.1675427407026291	clinical_only	xgboost
grade_3	0.10953114926815033	clinical_only	xgboost
er_status_ihc_esr1_for indeterminate_P	0.07205212861299515	clinical_only	xgboost
grade_2	0.06849110871553421	clinical_only	xgboost
clinical_t_stage_T3	0.051337968558073044	clinical_only	xgboost
age_years	0.04894191026687622	clinical_only	xgboost
clinical_t_stage_T4	0.04745041951537132	clinical_only	xgboost
clinical_ajcc_stage_IIIA	0.04463564231991768	clinical_only	xgboost
grade_Indeterminate	0.04175572097301483	clinical_only	xgboost
clinical_t_stage_T2	0.04160374775528908	clinical_only	xgboost
clinical_ajcc_stage_IIB	0.04009734466671944	clinical_only	xgboost
clinical_nodal_status_N3	0.039532970637083054	clinical_only	xgboost
clinical_nodal_status_N2	0.035068411380052567	clinical_only	xgboost
clinical_nodal_status_N0	0.03414543345570564	clinical_only	xgboost
clinical_nodal_status_N1	0.030449341982603073	clinical_only	xgboost
HALLMARK_MITOTIC_SPINDLE	0.1255292174046107	bi_only	ridge_logreg
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.11192885210729324	bi_only	ridge_logreg
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.10813365204364384	bi_only	ridge_logreg
HYPOXIA	0.09810267923145073	bi_only	ridge_logreg
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.08652665115881808	bi_only	ridge_logreg
HALLMARK_G2M_CHECKPOINT	0.08363118353980774	bi_only	ridge_logreg
HALLMARK_E2F_TARGETS	0.07516992774290766	bi_only	ridge_logreg
HALLMARK_HYPOXIA	0.07205891810403718	bi_only	ridge_logreg
HALLMARK_IL2_STAT5_SIGNALING	0.07177970372120153	bi_only	ridge_logreg
HALLMARK_P53_PATHWAY	0.07102942300582087	bi_only	ridge_logreg
TREG_MYELOID_SUPPRESSION	0.07010772203620046	bi_only	ridge_logreg
HALLMARK_MYC_TARGETS_V1	0.06412014332626927	bi_only	ridge_logreg
HALLMARK_ESTROGEN_RESPONSE_LATE	0.06369587038365523	bi_only	ridge_logreg
HALLMARK_GLYCOLYSIS	0.06294125065434061	bi_only	ridge_logreg
HALLMARK_XENOBIOTIC_METABOLISM	0.05734807495539455	bi_only	ridge_logreg
HALLMARK_MITOTIC_SPINDLE	0.14792967980193814	bi_only	elastic_net_logreg
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.11444828035867932	bi_only	elastic_net_logreg
HYPOXIA	0.10672438738965002	bi_only	elastic_net_logreg
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.09694484134573957	bi_only	elastic_net_logreg
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.08537027498202573	bi_only	elastic_net_logreg
HALLMARK_G2M_CHECKPOINT	0.0810054536742751	bi_only	elastic_net_logreg
HALLMARK_E2F_TARGETS	0.07246187127782926	bi_only	elastic_net_logreg
TREG_MYELOID_SUPPRESSION	0.05380443334584078	bi_only	elastic_net_logreg
HALLMARK_MYC_TARGETS_V1	0.05265115960644853	bi_only	elastic_net_logreg
HALLMARK_ESTROGEN_RESPONSE_LATE	0.04848098184901991	bi_only	elastic_net_logreg
HALLMARK_UV_RESPONSE_UP	0.03891863320750242	bi_only	elastic_net_logreg
HALLMARK_IL2_STAT5_SIGNALING	0.03397509608051859	bi_only	elastic_net_logreg
HALLMARK_XENOBIOTIC_METABOLISM	0.031822206703154325	bi_only	elastic_net_logreg
HALLMARK_HYPOXIA	0.027677543312641606	bi_only	elastic_net_logreg
HALLMARK_SPERMATOGENESIS	0.025625551633556527	bi_only	elastic_net_logreg
HALLMARK_MITOTIC_SPINDLE	0.16733734193608138	bi_only	linear_svm
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.16608338016351853	bi_only	linear_svm
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.1431848468029026	bi_only	linear_svm
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.12363671950186186	bi_only	linear_svm
HYPOXIA	0.11309741940662506	bi_only	linear_svm
HALLMARK_HYPOXIA	0.1035151368503386	bi_only	linear_svm
TREG_MYELOID_SUPPRESSION	0.10336477119410602	bi_only	linear_svm
HALLMARK_IL2_STAT5_SIGNALING	0.10279877307491339	bi_only	linear_svm
HALLMARK_ESTROGEN_RESPONSE_LATE	0.09644418889351156	bi_only	linear_svm
HALLMARK_P53_PATHWAY	0.0899774767490859	bi_only	linear_svm
HALLMARK_G2M_CHECKPOINT	0.08762717821050622	bi_only	linear_svm
HALLMARK_PEROXISOME	0.08267829745324957	bi_only	linear_svm
HALLMARK_XENOBIOTIC_METABOLISM	0.08100645222913107	bi_only	linear_svm
HALLMARK_E2F_TARGETS	0.0808369981001766	bi_only	linear_svm
HALLMARK_GLYCOLYSIS	0.08077935890579473	bi_only	linear_svm
HALLMARK_MITOTIC_SPINDLE	0.045003000646829605	bi_only	xgboost
